Property Name	Data Type	Data Default Value	Param0 Type	Param0 Default Value	Param1 Type	Param1 Default Value	Param2 Type	Param2 Default Value	Param3 Type	Param3 Default Value
AchievementScoreProp	Integer	0	-	-	-	-	-	-	-	-
AchievementLatestKnownTimestampProp	Integer	0	-	-	-	-	-	-	-	-
AcquiredThroughMTXStoreProp	Boolean	False	-	-	-	-	-	-	-	-
ActiveMissionChapterProp	Prototype		-	-	-	-	-	-	-	-
AIAffixPowerToActivateProp	Prototype		-	-	-	-	-	-	-	-
AIAggroDropByLOSChanceProp	Real	0f	-	-	-	-	-	-	-	-
AIAggroDropRangeProp	Real	0f	-	-	-	-	-	-	-	-
AIAggroRangeAllyProp	Real	0f	-	-	-	-	-	-	-	-
AIAggroRangeHostileProp	Real	0f	-	-	-	-	-	-	-	-
AIAggroRangeOverrideAllyProp	Real	0f	-	-	-	-	-	-	-	-
AIAggroRangeOverrideHostileProp	Real	0f	-	-	-	-	-	-	-	-
AIProximityRangeOverrideProp	Real	0f	-	-	-	-	-	-	-	-
AIAggroStateProp	Boolean	False	-	-	-	-	-	-	-	-
AIAggroAnnouncementProp	Prototype		-	-	-	-	-	-	-	-
AIAggroTimeProp	Time	0 (Time)	-	-	-	-	-	-	-	-
AIAlwaysAggroedProp	Boolean	False	-	-	-	-	-	-	-	-
AIAssistedEntityIDProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
AIAssistOverrideTargetIdProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
AIAttentionMarkTimeProp	Time	0 (Time)	-	-	-	-	-	-	-	-
AICanFlockProp	Boolean	False	-	-	-	-	-	-	-	-
AICombatIdlingProp	Boolean	False	-	-	-	-	-	-	-	-
AIConditionTimerCompletionTimeProp	Real	0f	Integer	0	-	-	-	-	-	-
AIControlPowerLockProp	Boolean	False	-	-	-	-	-	-	-	-
AICustomOverrideStateVal1Prop	Integer	0	-	-	-	-	-	-	-	-
AICustomProtoRef1Prop	Prototype		-	-	-	-	-	-	-	-
AICustomStateVal1Prop	Integer	0	-	-	-	-	-	-	-	-
AICustomStateVal2Prop	Integer	0	-	-	-	-	-	-	-	-
AICustomStateVal3Prop	Integer	0	-	-	-	-	-	-	-	-
AICustomStateVal4Prop	Integer	0	-	-	-	-	-	-	-	-
AICustomEntityId1Prop	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
AICustomEntityId2Prop	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
AICustomEntityId3Prop	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
AICustomEntityId4Prop	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
AICustomThinkRateMSProp	Integer	-1	-	-	-	-	-	-	-	-
