Index	PrototypeId	Name
0	0	
1	1551544351990599	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTextAmbientBatrocV02.prototype
2	15219817545803219	Metagame/AgeOfUltron/Populations/OverheadText/AgeOfUltronSoloCivFleeOverheadTextV04.prototype
3	22935069893862292	Metagame/PatrolBrooklyn/Populations/OverheadText/BanterVenomEventAScientistF3.prototype
4	24661107936927412	Populations/Clusters/Generic/OverheadText/OverheadTextAIMRepairV01.prototype
5	54187710220870627	Metagame/Story/CH05MutantTown/Populations/OverheadText/OverheadCH05CivScavengeV02.prototype
6	93768011753595304	Populations/Clusters/Generic/OverheadText/OverheadTextGenericCivThanksV07.prototype
7	96295380096263204	Metagame/AgeOfUltron/Populations/OverheadText/AgeOfUltronPoliceTalkToWoundedV02.prototype
8	123088403271522658	Populations/Clusters/Generic/AI/AIAmbientIdleDinoKing.prototype
9	124059258222355203	Metagame/PatrolMidtown/Populations/OverheadText/MidtownOverheadTextMoloidV01.prototype
10	148820323178913462	Populations/Clusters/Generic/OverheadText/OverheadTextAIMRepairV12.prototype
11	148935109347386458	Metagame/PatrolMidtown/Populations/OverheadText/MidtownOverheadTextScientistV06.prototype
12	161442964646997568	Metagame/Story/CH10SecretInvasion/Hightown/Populations/OverheadText/OverheadTextMadriCivSafeZoneLoiterV01.prototype
13	173676207781913430	Metagame/Story/CH04EastSide/Populations/OverheadText/OverheadCH04MGHScientistV02.prototype
14	175799574429509187	Metagame/AgeOfUltron/Populations/OverheadText/AgeOfUltronOverheadTextPoliceLtTalkV07.prototype
15	211064869352186932	Metagame/Story/CH06FortStryker/Populations/OverheadText/OHTextPurifierTrackerV02.prototype
16	218343843707626054	Metagame/PatrolBrooklyn/Populations/OverheadText/BanterDoopEventAMultManA5.prototype
17	243660052718102624	Metagame/Raids/Thanos/Populations/OverheadText/ThanosRaidOverheadTextBlackOrderKnowhereV01.prototype
18	249925655040502596	Metagame/Story/CH10SecretInvasion/Hightown/Populations/OverheadText/OverheadTextMadriPoliceTalkV09.prototype
19	254189525976881181	Populations/Clusters/Generic/AI/AIAmbientDancingV02.prototype
20	260640242566243390	Metagame/Story/CH07SavageLand/Populations/OverheadText/OverheadTextMutateElderV03.prototype
21	263974070133008951	Metagame/PatrolMidtown/Populations/OverheadText/SideBosses/MidtownOverheadTextAmbientManApeV05.prototype
22	270157969075350187	Metagame/PatrolMidtown/Populations/OverheadText/SideBosses/MidtownOverheadTextAmbientMoleManV02.prototype
23	271052774316256637	Metagame/PatrolMidtown/Populations/OverheadText/Events/MidtownOverheadTextEventFrightfulFourWizardV02.prototype
24	276514816622010218	Populations/Clusters/Generic/AI/AIAmbientTalkingExplainingSenseOnly.prototype
25	278005081655616430	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTxtSupplyMGHLeaderV3.prototype
26	279078084113277717	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTxtSupplyCookTalk01.prototype
27	285782050060315816	Metagame/Story/CH10SecretInvasion/Hightown/Populations/OverheadText/OverheadTextMadriCivSlumLoiterV03.prototype
28	285895689852559747	Metagame/PatrolSavage/Populations/OverheadText/SavageOverheadTextMODOKV01.prototype
29	286885566163462922	Metagame/Story/CH00Prologue/CH00TutorialCity/Populations/OverheadText/OHTextPoliceSoloTalkToCivV02.prototype
30	334292759109574889	Populations/Clusters/Generic/OverheadText/OverheadTextGenericCuriousV09.prototype
31	334841263450037246	Populations/Clusters/Generic/AI/AIAmbientLoungeReadGroundV02.prototype
32	358263352735047693	Populations/Clusters/Generic/OverheadText/OverheadTextPoliceArrestV07.prototype
33	370458399316848305	Metagame/Story/CH10SecretInvasion/Hightown/Populations/OverheadText/OverheadTextMadriCivSewersTalkArgueV03.prototype
34	381560642642259311	Metagame/Story/CH10SecretInvasion/Hightown/Populations/OverheadText/OverheadTextSWORDSafeZonePlacateV05.prototype
35	381626491077403111	Populations/Clusters/Generic/OverheadText/OverheadTextHostileRunToExitV04.prototype
36	393574322445558468	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTxtSupplyMGHRunV01.prototype
37	396771518218248189	Metagame/OneShots/RedSkull/OverheadText/OverheadTextRSHYDRATalkIntV06.prototype
38	402395959765506545	Metagame/Hubs/GenoshaHub/OverheadText/MutantTrioTalkV01.prototype
39	422363663134761444	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTxtCultistRunV02.prototype
40	426855332071743253	Metagame/OneShots/RedSkull/OverheadText/OverheadTextHYDRATalkIntV12.prototype
41	446317963245135117	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTxtBusWarMaggiaThreatV06.prototype
42	477815136465526604	Populations/Clusters/Generic/OverheadText/OverheadTextSkrullTalkV19.prototype
43	490026457533128269	Populations/Clusters/Generic/OverheadText/OverheadTextPMCRiledV04.prototype
44	507481732931853927	Populations/Clusters/Generic/OverheadText/OverheadTextThugTalkV19.prototype
45	514573226448789095	Populations/Clusters/Generic/OverheadText/OverheadTextSerpTalkV08.prototype
46	523020879872467852	Populations/Clusters/Generic/OverheadText/OverheadTextCultistSummonTalkingV02.prototype
47	531035828089528816	Populations/Clusters/Generic/OverheadText/OverheadTextMadriFisherAfraidV02.prototype
48	548730118489580086	Populations/Clusters/Generic/OverheadText/OverheadTextPurifierRecruiterV02.prototype
49	552628596020551443	Metagame/OneShots/RedSkull/OverheadText/OverheadTextHYDRATalkIntV01.prototype
50	565270896290834949	Metagame/Story/CH10SecretInvasion/Hightown/Populations/OverheadText/OverheadTextMadriCivTalkV13.prototype
51	571962916616544287	Populations/Clusters/Generic/OverheadText/OverheadTextReporterTalkV07.prototype
52	574782613181176790	Populations/Clusters/Generic/AI/AIAmbientHoldingVideoCamera.prototype
53	594727695110641855	Populations/Clusters/Generic/AI/AIAmbientHandstand1H.prototype
54	594911233998266822	Metagame/PatrolBrooklyn/Populations/OverheadText/BanterDoopEventAPoliceA7.prototype
55	596699823333843683	Metagame/PatrolBrooklyn/Populations/OverheadText/OverheadTextSavExDealAIMV05.prototype
56	608416646421683688	Populations/Clusters/Generic/OverheadText/OverheadTextPMCTalkV03.prototype
57	616850276326514550	Populations/Clusters/Generic/OverheadText/OverheadTextMaggiaAggroV07.prototype
58	620211268986544091	Metagame/DangerRoom/Populations/OverheadText/OverheadTextBroodTalkV03.prototype
59	633794368558734235	Populations/Clusters/Generic/AI/AIAmbientTalkingAngryV02WOA.prototype
