Index	PrototypeId	Name
0	0	
1	29892383677748249	UI/LogoffPanel/Prototypes/MidtownTeaser.prototype
2	1232146579896737238	UI/LogoffPanel/Prototypes/StoryMissions/Ch5ChurchofPurification.prototype
3	1600636177759739602	UI/LogoffPanel/Prototypes/StoryMissions/Ch8LATVERIAStopDoctorDoom.prototype
4	2133331966243445834	UI/LogoffPanel/Prototypes/StoryMissions/Ch4CorruptionInBlue.prototype
5	2154797777237778059	UI/LogoffPanel/Prototypes/StoryMissions/Ch9NorwayFrostyReception.prototype
6	2288295853147166290	UI/LogoffPanel/Prototypes/IndustryCityTeaser.prototype
7	2883071060448320432	UI/LogoffPanel/Prototypes/StoryMissions/Ch9LokiFinalBattle.prototype
8	2913755749049113352	UI/LogoffPanel/Prototypes/StoryMissions/Ch7SinisterPlans.prototype
9	2942545356247932387	UI/LogoffPanel/Prototypes/StoryMissions/Ch3FindLostSHIELDPatrol.prototype
10	3239778671321092250	UI/LogoffPanel/LogoffPanelEntry.defaults
11	4340194615615298730	UI/LogoffPanel/Prototypes/StoryMissions/Ch8HYRDRASmashHYRDRA.prototype
12	7036925995653667943	UI/LogoffPanel/Prototypes/StoryMissions/Ch0DefeatGreenGoblin.prototype
13	7988367164996657053	UI/LogoffPanel/Prototypes/StoryMissions/Ch2BustUpTaskMastersAcademy.prototype
14	8359171587137543453	UI/LogoffPanel/Prototypes/DailyQuests/Survival7SaturdayTeaser.prototype
15	8797802501999893987	UI/LogoffPanel/Prototypes/StoryMissions/Ch1StopTheArtifactTheft.prototype
16	9123780342969801779	UI/LogoffPanel/Prototypes/DailyQuests/Patrol7SaturdayTeaser.prototype
17	9902611162978980882	UI/LogoffPanel/Prototypes/HolosimTeaser.prototype
18	10170435610360159839	UI/LogoffPanel/Prototypes/StoryMissions/Ch6CaptureWilliamStriker.prototype
19	10818508899223543330	UI/LogoffPanel/Prototypes/StoryMissions/Ch9AsgardBattleforAsgard.prototype
20	11198105679253148777	UI/LogoffPanel/Prototypes/XDefenseTeaser.prototype
21	12393732110846009132	UI/LogoffPanel/Prototypes/StoryMissions/Ch2RetrieveTheStolenTablet.prototype
22	12478468359795449993	UI/LogoffPanel/Prototypes/StoryMissions/Ch8HYDRADestroyHulkbusterTech.prototype
23	13007312712433212676	UI/LogoffPanel/Prototypes/StoryMissions/Ch4TakeDownTheKingpin.prototype
24	16293003589765832627	UI/LogoffPanel/Prototypes/StoryMissions/Ch8AIMDefeatTheIntelligencia.prototype
25	16742703901686766759	UI/LogoffPanel/Prototypes/StoryMissions/Ch5PurifierKillSquad.prototype
26	17168434393025356081	UI/LogoffPanel/Prototypes/LegendaryQuests/AbstractLegendaryLogoffTeaser.prototype
27	17531981555228089597	UI/LogoffPanel/Prototypes/DailyQuests/Terminal7SaturdayTeaser.prototype
28	17691567281866283723	UI/LogoffPanel/Prototypes/StoryMissions/Ch1DefeatShocker.prototype
29	17717171156780195180	UI/LogoffPanel/Prototypes/StoryMissions/Ch9SiegeCityUnderSiege.prototype
30	17796987268764868627	UI/LogoffPanel/Prototypes/DailyQuests/AbstractDailyQuestLogoffTeaser.prototype
