Index	PrototypeId	Name
0	0	
1	458167180329752171	Metagame/XMansionDefense/XMansionDefenseMode60.prototype
2	624489925950576214	Metagame/OneShots/RedSkull/OSAxisMetaGameMode.prototype
3	672236289137514511	Metagame/Story/CH04EastSide/CH0402UpperEastPopStates.prototype
4	1032623912533236058	Metagame/Story/CH02BrooklynDocks/CH0208CanneryPopStates.prototype
5	1344861286185179155	Metagame/Story/CH04EastSide/CH0410FiskTowerPopStates.prototype
6	1406917461617610605	Metagame/HoloSim/HoloSimMode.prototype
7	1407055112372297231	Metagame/Story/CH10SecretInvasion/TreasureRooms/CH10GameCenterMode.prototype
8	1575136248327379657	Metagame/Story/CH01HellsKitchen/Ch01PowerPlantMetaGameMode.prototype
9	3104554609472053255	Metagame/Story/CH10SecretInvasion/TreasureRooms/CH10ShantyRooftopsMode.prototype
10	3380462169823253385	Metagame/PatrolSavage/PatrolSavageMode.prototype
11	3410897089920177055	Metagame/Hubs/GenoshaHub/GenoshaHubMode.prototype
12	3500972875965799640	Metagame/Story/CH10SecretInvasion/TreasureRooms/CH10CarParkMode.prototype
13	4318458837233832529	Metagame/HoloSim/HoloSimMode60Cosmic.prototype
14	4725492139358361052	Metagame/Story/CH03Madripoor/CH03MadripoorMode.prototype
15	5761748317872593469	Metagame/Story/CH01HellsKitchen/Ch01NightclubMetaGameMode.prototype
16	6204065826875905977	Metagame/Hubs/FurysToolshed/CH10FurysToolshedMode.prototype
17	7779639453442774533	Metagame/XMansionDefense/XMansionDefenseMode.prototype
18	8076839543466759772	Metagame/Story/CH00Prologue/CH00Raft/CH00RaftMode.prototype
19	8308132926569650246	Metagame/DevMobFamilies/DevMobFamiliesMetaGameMode.prototype
20	8409778057263064639	Metagame/Story/CH10SecretInvasion/AvengersTowerInvasion/CH10AvengersTowerInvasionMode.prototype
21	9179071075334429376	Metagame/Story/CH04EastSide/ToBeDeprecated/Ch04MetaGameMode.prototype
22	9280877483070462185	Metagame/XMansionDefense/XMansionDefenseMode60Cosmic.prototype
23	9438248004124742400	Metagame/Blueprints/MetaGameStateMode.defaults
24	9476286367136881093	Metagame/Story/CH02BrooklynDocks/CH0201ShippingPopStates.prototype
25	9569774919258609992	Metagame/PatrolMidtown/Redacted/PatrolMidtownOldMode.prototype
26	9867887120998864908	Metagame/Story/CH04EastSide/CH0402LowerEastPopStates.prototype
27	10238763162839297544	Missions/Prototypes/Story/CH02BrooklynDocks/Events/InstanceEventRhino/MetaGame/CH02RhinoMetaGameStateMode.prototype
28	11050501988986591206	Metagame/Story/CH06FortStryker/CH06FortStrykerMode.prototype
29	11272786196541083037	Metagame/Limbo/LimboMode.prototype
30	12030289030278877139	Metagame/HoloSim/HoloSimMode60.prototype
31	12382504944363510269	Metagame/DangerRoom/Modes/DangerRoomInfoNoticationMode.prototype
32	13018323824223984125	Metagame/Story/CH10SecretInvasion/Hightown/HightownMode.prototype
33	13246851925814549852	Metagame/Story/CH00Prologue/CH00TutorialCity/CH00TutorialCityMode.prototype
34	13459450233944151419	Metagame/PatrolBrooklyn/PatrolBrooklynMode.prototype
35	14530552775714350139	Metagame/Story/CH10SecretInvasion/HelicarrierInvasion/CH10HelicarrierInvasionMode.prototype
36	14794463835913460304	Metagame/Story/CH01HellsKitchen/Ch01WarehouseMetaGameMode.prototype
37	15287658791878793869	Metagame/Story/CH10SecretInvasion/Lowtown/CH10LowtownMode.prototype
38	15657155208692110495	Metagame/PatrolMidtown/PatrolMidtownMode.prototype
39	16657481031125113112	Metagame/Story/CH01HellsKitchen/Ch01SubwayMetaGameMode.prototype
40	16783614808654814098	Metagame/Story/CH02BrooklynDocks/CH0205ConstructionPopStates.prototype
41	16928700813480829441	Metagame/Story/CH10SecretInvasion/XMansionInvasion/CH10XMansionInvasionMode.prototype
42	17625299556656422373	Metagame/Story/CH10SecretInvasion/NYCRooftops/CH10NYCRooftopsMode.prototype
43	17656743297289034619	Metagame/Story/CH01HellsKitchen/Ch01HellsKitchenMetaGameMode.prototype
44	17822891599592037503	Metagame/Raids/Surtur/xxxDeprecated/SurturMainModeDeprecated.prototype
