Index	PrototypeId	Name
0	0	
1	11152247465650951	Missions/Prototypes/Act3/Ch10SecretInvasion/Discoveries/MainMission/PagodaEncounterCivilianRescue.prototype
2	11235510059868122	Missions/Prototypes/Story/CH09Asgard/Discoveries/Siege/CivRescueSoloF3.prototype
3	12833274969136086	Missions/Prototypes/Development/AmbientHoldGunpointPistol.prototype
4	14706824778884189	Missions/Prototypes/Act2/Ch05MutantTown/Discoveries/Ambient/MutantsTerrifiedSolo4.prototype
5	17323305915456991	Missions/Prototypes/Act3/Ch09Asgard/Discoveries/DarkElfFiringLine5.prototype
6	20378049842583142	Missions/Prototypes/Development/AmbientFearV2.prototype
7	21748611629524620	Missions/Prototypes/PVEEndgame/PatrolBrooklyn/Discoveries/Redacted/BrooklynAIMvsMerc4.prototype
8	24327389606126845	Missions/Prototypes/Story/CH09Asgard/Discoveries/Ambushes/Siege/SiegeDESoloAmbushV3.prototype
9	26447843442042688	Missions/Prototypes/PVEEndgame/XMansionDefense/Discoveries/XMansionDefenseJuggleSoccer.prototype
10	29536509578191928	Missions/Prototypes/Story/CH01HellsKitchen/Discoveries/HKSouth/HBGangOverPolice01.prototype
11	30401594987715641	Missions/Prototypes/PVEEndgame/HoloSim/Hazards/HazardsFireV3.prototype
12	32194022993765155	Missions/Prototypes/Story/CH09Asgard/Discoveries/General/HYDRAvsSHIELDMaleDuo6.prototype
13	32351125414355226	Missions/Prototypes/Act1/Ch04HellsKitchen2/Controllers/KingpinKismetQueue.prototype
14	32955810353718523	Missions/Prototypes/PVEEndgame/OneShots/VibraniumMine/OSVMineFailureExtractDoras.prototype
15	36757101646978788	Missions/Prototypes/ZZZDeprecated/CH00Tutorial/BankPortalActivator.prototype
16	44219165564740184	Missions/Prototypes/Act2/Ch05MutantTown/Discoveries/Ambient/MadroxLoreSHIELD.prototype
17	44636023239548809	Missions/Prototypes/Story/CH04EastSide/TreasureRooms/CH04TR08LavaCaves.prototype
18	46102933824607032	Missions/Prototypes/DiscoveryLargeTR.prototype
19	48294807550304340	Missions/Prototypes/ZZZDeprecated/CH10SecretInvasion/CivSoloFlipCoinM1.prototype
20	49254325320884419	Missions/Prototypes/Act3/Ch10SecretInvasion/Formations/SkrullFormLargeV2.prototype
21	56670386268940811	Missions/Prototypes/PVEEndgame/PatrolMidtown/Discoveries/Redacted/ManhattanThugsBurningPolice.prototype
22	61414826427752989	Missions/Prototypes/PVEEndgame/DangerRoom/DRMissionBonusChestDeathTracker.prototype
23	63862861036920804	Missions/Prototypes/Story/CH09Asgard/Discoveries/Siege/CivRescueSoloM6.prototype
24	64949714763455658	Missions/Prototypes/Development/AmbientListeningThoughtSerp.prototype
25	68641864067194316	Missions/Prototypes/Act1/Ch02BrooklynDocks/Discoveries/SHIELDRaid.prototype
26	70598310438445894	Missions/Prototypes/PVEEndgame/DangerRoom/Marsh/DRMarshEventCollectFishBaitT1.prototype
27	71441335829604656	Missions/Prototypes/PVEEndgame/PatrolBrooklyn/Ambushes/Sunsetted/BrooklynMaggiaDoorAmbushV4.prototype
