Index	PrototypeId	Name
0	0	
1	84861829115813279	Metagame/DangerRoom/Objects/BroodCaves/DRBroodSHIELDRescueDObjT2.prototype
2	122249983922479376	Metagame/Story/CH10SecretInvasion/Hightown/Objects/Redacted/SHRescueTable4.prototype
3	132127604631608682	Metagame/XMansionDefense/Objects/XLavamanPopObjectEncounterP1V1.prototype
4	162658001478688132	Populations/Encounters/CH8Subterranea/ShallowCavesRockTowerMED.prototype
5	191433371348113660	Metagame/PatrolBrooklyn/Objects/BrooklynSavageExP3V3.prototype
6	300768574747976275	Metagame/Story/CH05MutantTown/Objects/Redacted/MutantShakedownCH5P1AcolyteFV4.prototype
7	311585857566808010	Populations/Encounters/CH10Savagelands/RaptorNest.prototype
8	334040115688315212	Metagame/HoloSim/Objects/HoloSimSentinelPopObjEncP3V1.prototype
9	359993822639234616	Metagame/DangerRoom/Objects/Military/DRMilitarySHIELDRescueEObjT2.prototype
10	360100978183707419	Populations/Encounters/CH6MutantTown/ProjectsCarsMediumB.prototype
11	395383493136360396	Metagame/DangerRoom/Objects/LevelAffixes/Deprecated/DRAffixBarrelClusterSmlObjD.prototype
12	401087043361577610	Metagame/Story/CH03Madripoor/Objects/HYDRAAssaultSHIELDV2.prototype
13	513235648491888081	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCollectDataHT1Obj.prototype
14	545212396778495401	Populations/Encounters/CH8Subterranea/ShallowCaves1LargePlantSM.prototype
15	547522894333485000	Metagame/DangerRoom/Objects/BambooForest/DRBambooCivRescueGroupBT2Obj.prototype
16	610776333044554758	Populations/Encounters/CH6MutantTown/ProjectsJeepEncounter.prototype
17	625164369468529436	Populations/Encounters/CH6MutantTown/ProjectsBurningCarB.prototype
18	630722925356063478	Metagame/Story/CH05MutantTown/Objects/SewerBarricadeCH5P2V1.prototype
19	722230603014347173	Metagame/HoloSim/Objects/XStudentPopObjectEncounterV2.prototype
20	724754678858194427	Metagame/XMansionDefense/Objects/XSinisterPopObjectEncounterP1V1.prototype
21	745709165823401151	Metagame/DangerRoom/Objects/BroodCaves/DRBroodDebrisPileAT2Obj.prototype
22	760571961698819550	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCaseSamplesCT2Obj.prototype
23	772909052580470845	Metagame/Story/CH05MutantTown/Objects/Redacted/PurifierImmolationCH5P1V3.prototype
24	782251710039464231	Metagame/Story/CH03Madripoor/Objects/NgaraiRaidSpawnD4.prototype
25	815431413455725144	Metagame/Story/CH05MutantTown/Objects/Redacted/MutantShakedownCH5P1AcolyteMV2.prototype
26	887083348409654410	Metagame/Story/CH09Asgard/Objects/ZZZRedacted/SiegeDoorTopPack.prototype
27	892190206571715777	Metagame/DangerRoom/Objects/BroodCaves/DRBroodDebrisPileDT1Obj.prototype
28	916166854329769440	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCaseSamplesFT1Obj.prototype
29	924980630944292588	Metagame/XMansionDefense/Objects/Redacted/XAIMPopObjectEncounterBV1.prototype
30	932192152359346743	Metagame/Story/CH05MutantTown/Objects/Redacted/MutantShakedownCH5P1FanaticFV3.prototype
31	943033244443876834	Metagame/Raids/Surtur/Objects/Enc1/SurturRaidHogunPostSlagPopObj.prototype
32	944361331415065090	Metagame/Raids/Surtur/Objects/FiveMan/Slag/PopObjectFireArcherSpawnersWave2.prototype
33	955636251389599311	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacSHIELDRescueET2Obj.prototype
34	963406263977844372	Metagame/DangerRoom/Objects/BroodCaves/DRBroodCivRescueGroupCObjT2.prototype
35	977391296561159028	Metagame/Story/CH01HellsKitchen/Objects/SaveThePoliceReward.prototype
36	992079915075770731	Metagame/Story/CH05MutantTown/Objects/NgaraiInvasionV2.prototype
37	1004984797830456386	Metagame/DangerRoom/Objects/LevelAffixes/Deprecated/DRAffixBarrelClusterTinyObjB.prototype
38	1032770461869350350	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCollectDataET1Obj.prototype
39	1038384229387673173	Metagame/Raids/Surtur/Objects/Enc4/SurturEnc4PopObjectShieldEliteL.prototype
40	1149323438339596338	Populations/Encounters/CH8Subterranea/MoloidCavernsJuttingCrystalsSM.prototype
41	1151223264914380730	Metagame/HoloSim/Objects/HoloSimPyroPopObjEncP9V1.prototype
42	1161259610891886315	Metagame/DangerRoom/Objects/BambooForest/DRBambooVaseUrnHLVL1EncObj.prototype
43	1192337695309242427	Metagame/XMansionDefense/Objects/Redacted/XCyborgPopObjectEncounterBV1.prototype
44	1234518821571533803	Metagame/DangerRoom/Objects/AIMFacility/DRAIMCivRescueBT2Obj.prototype
45	1254814612660821109	Populations/Encounters/CH8Subterranea/ShallowCavesP3Acolytes.prototype
46	1315045314495192226	Metagame/XMansionDefense/Objects/XHYDRAPopObjectEncounterP1V1.prototype
47	1388831453941604657	Metagame/Story/CH02BrooklynDocks/Objects/ToBeDeprecated/SupervillainRhino.prototype
48	1464316261362047839	Metagame/DangerRoom/Objects/Subway/DRSubwayCivRescueCT2Obj.prototype
49	1509354590205255492	Metagame/Raids/Surtur/Objects/Enc0Ramp/SurturEnc0PopObjectHogunEnter.prototype
50	1579615205098003507	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacAntennaET1Obj.prototype
51	1610554152091523115	Metagame/Story/CH01HellsKitchen/Objects/ArsonReward.prototype
52	1686932566182993981	Metagame/Story/CH10SecretInvasion/Hightown/Objects/Redacted/SHRescueCar3.prototype
53	1692692366676335038	Metagame/HoloSim/Objects/HoloSimAIMPopObjEncounterP3V1.prototype
54	1808711951782387674	Metagame/DangerRoom/Objects/Military/DRMilitaryDisarm6sExplosivT2DObj.prototype
55	1870743924019632197	Metagame/Story/CH04EastSide/Objects/MGHEnhancementV3.prototype
56	1907089539060735014	Metagame/XMansionDefense/Objects/XHandPopObjectEncounterP1V2.prototype
57	1952781162183529350	Populations/Encounters/CH11/CargoTruckA.prototype
58	2030095436494281067	Metagame/Story/CH09Asgard/Objects/ForgottenPyreSpawnV5.prototype
59	2040252520851381972	Metagame/DangerRoom/Objects/BambooForest/DRBambooSHIELDRescueDT2Obj.prototype
60	2043187751326456249	Metagame/Story/CH04EastSide/Objects/JailbreakRiotPolice.prototype
61	2094771701913493327	Populations/Encounters/CH8Subterranea/ShallowCavesVenusHumanTrapSM.prototype
62	2132316745844071948	Metagame/DangerRoom/Objects/BambooForest/DRBambooVaseUrnBT2EncObj.prototype
63	2207877078314917282	Metagame/Story/CH03Madripoor/Objects/AquaticAssHYDRAStormSpawnV3.prototype
64	2255534219700346176	Populations/Encounters/CH8Subterranea/LavaCavesLavaBridgeNSMED.prototype
65	2260127137852235112	Metagame/Raids/Surtur/Objects/Enc1/SurturEnc1PopObjectAsgardianG.prototype
66	2281392287194027779	Metagame/Story/CH09Asgard/Objects/SiegeMalekithV2.prototype
67	2283443185468643106	Populations/Encounters/Global/Shrines/ShrineRed.prototype
68	2306145893921200073	Metagame/Story/CH04EastSide/Objects/JailbreakGateV3.prototype
69	2372522225933686894	Metagame/Story/CH04EastSide/Objects/JailbreakShocker.prototype
70	2424466554422500813	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCollectDataCT2Obj.prototype
71	2430679545093038876	Metagame/Story/CH02BrooklynDocks/Objects/ToBeDeprecated/HandIntimidationReward.prototype
72	2461586076311952106	Metagame/Story/CH09Asgard/Objects/SiegeDropshipOuterPackV1.prototype
73	2462211284282973495	Metagame/Story/CH01HellsKitchen/Objects/SaveThePolicePunkSpawnA.prototype
74	2493547948281502663	Metagame/XMansionDefense/Objects/XMGHPopObjectEncounterP1V2.prototype
75	2529690215818534337	Populations/Encounters/CH8Subterranea/ShallowCavesMossyWormsSM.prototype
76	2539737080510486952	Metagame/HoloSim/Objects/XStudentPopObjectEncounterV5.prototype
77	2563109467431902400	Metagame/DangerRoom/Objects/BroodCaves/DRBroodDebrisPileBT2Obj.prototype
78	2585075300665465126	Metagame/Story/CH03Madripoor/Objects/NgaraiRaidSpawnD3.prototype
79	2631616595895196701	Metagame/Story/CH09Asgard/Objects/ZZZRedacted/SiegeDoorReward.prototype
80	2633390725070331472	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacSHIELDRescueFT2Obj.prototype
81	2652948578735889695	Metagame/DangerRoom/Objects/BambooForest/DRBambooBonePileT1BObj.prototype
82	2700949878300089221	Populations/Encounters/CH6MutantTown/SlumsPoliceCarSmallA.prototype
83	2701689273010101727	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCaseSamplesET1Obj.prototype
84	2709725645825251761	Metagame/Story/CH09Asgard/Objects/StoneCircleEdgeMarker.prototype
85	2717145039069912532	Metagame/XMansionDefense/Objects/XMandarinPopObjectEncounterP1V1.prototype
86	2720532623134825411	Metagame/Story/CH05MutantTown/Objects/MutantShakedownPolice.prototype
87	2741750795587755596	Metagame/XMansionDefense/Objects/XBrotherhdPopObjectEncounterP1V1.prototype
88	2816599951623331559	Metagame/DangerRoom/Objects/BambooForest/DRBambooVaseUrnDLVL1EncObj.prototype
89	2833328728278965844	Metagame/Raids/Surtur/Objects/Enc4/SurturEnc4PopObjectShieldEliteK.prototype
90	2848786691125155920	Metagame/HoloSim/Objects/HoloSimAIMLabPopObjEncP2V2.prototype
91	2854604526936989135	Metagame/DangerRoom/Objects/AIMFacility/DRAIMFacCollectDataFT1Obj.prototype
92	2861936657522956539	Metagame/PatrolBrooklyn/Objects/BrooklynSavageExP4V1.prototype
93	2909010538096762088	Populations/Encounters/CH6MutantTown/SlumsSafeZoneAEncounter.prototype
94	2920903494858446775	Metagame/HoloSim/Objects/HoloSimPyroPopObjEncP6V1.prototype
95	2920940829653868815	Metagame/Story/CH10SecretInvasion/Hightown/Objects/Redacted/SHRescueTable3.prototype
96	2933238414571410496	Populations/Encounters/CH11/LabMachineryA.prototype
97	2943678879006923069	Metagame/DangerRoom/Objects/Marsh/DRMarshFishBaitFObj.prototype
98	2953862403492355820	Metagame/XMansionDefense/Objects/Redacted/XAIMPopObjectEncounterAV2.prototype
99	2980397792325608544	Metagame/Story/CH10SecretInvasion/Hightown/Objects/HightownSovereignNewsCrewPopA.prototype
100	3073899924049961533	Metagame/Story/CH05MutantTown/Objects/Redacted/MutantShakedownCH5P1FanaticMV2.prototype
101	3079238509647239576	Metagame/Story/CH09Asgard/Objects/ForgottenPyrePointer.prototype
102	3139868896101079293	Metagame/PatrolBrooklyn/Objects/BrooklynSavageExP3V4.prototype
103	3181238714267998899	Metagame/Story/CH09Asgard/Objects/StoneCircleSHIELDReturn.prototype
104	3190724135527850955	Metagame/DangerRoom/Objects/LevelAffixes/Deprecated/DRAffixBarrelClusterSmlObjC.prototype
105	3209564409095069054	Metagame/Story/CH09Asgard/Objects/ZZZRedacted/SiegeDoorSpawnersS.prototype
106	3218920386535430797	Metagame/Story/CH03Madripoor/Objects/HYDRAAssaultSHIELDV5.prototype
107	3235801356230008371	Metagame/DangerRoom/Objects/BroodCaves/DRBroodDisarm6sChargeET2Obj.prototype
108	3236062727198284534	Metagame/Story/CH05MutantTown/Objects/SewerBarricadeCH5P1V2.prototype
109	3249240409153020498	Metagame/Story/CH05MutantTown/Objects/Redacted/MutantShakedownCH5P1AcolyteFV3.prototype
110	3257862348069609017	Metagame/DangerRoom/Objects/Military/DRMilitarySHIELDRescueFObjT2.prototype
111	3261917192319213107	Metagame/DangerRoom/Objects/Military/DRMilitarySHIELDRescueAT1Obj.prototype
112	3263020316247334480	Metagame/Raids/Surtur/Objects/Enc4/SurturEnc4PopObjectShieldEliteG.prototype
113	3272417697661787285	Metagame/PatrolBrooklyn/Objects/BrooklynSupplyTombstoneCrew.prototype
114	3337595969789501383	Metagame/DangerRoom/Objects/BambooForest/DRBambooCivRescueGroupAT2Obj.prototype
115	3372111904904650150	Metagame/DangerRoom/Objects/BroodCaves/DRBroodEggSacClusterT1Obj.prototype
116	3391654951671701062	Metagame/Story/CH09Asgard/Objects/ZZZRedacted/SiegeDoorFirstGuards.prototype
117	3405925936326580419	Metagame/Story/CH05MutantTown/Objects/NgaraiInvasion.prototype
118	3461283608133639641	Metagame/XMansionDefense/Objects/XMalekithPopObjectEncounterP1V1.prototype
119	3464229229547167112	Metagame/DangerRoom/Objects/BroodCaves/DRBroodDisarm3sChargeCObj.prototype
120	3465592167111660568	Populations/Encounters/SkillShotTurret.prototype
121	3480522741726978209	Metagame/Story/CH02BrooklynDocks/Objects/ToBeDeprecated/UnfriendlyCargoB.prototype
122	3526866588050594753	Metagame/XMansionDefense/Objects/XAIMPopObjectEncounterP1V1.prototype
123	3542389898469775677	Metagame/HoloSim/Objects/HoloSimSHIELDCrashPopObjP2V1.prototype
124	3564180479362931001	Metagame/DangerRoom/Objects/Marsh/DRMarshFishBaitBObj.prototype
125	3707592694368050742	Metagame/DangerRoom/Objects/Military/DRMilitarySHIELDRescueDObjT1.prototype
126	3765733535253077055	Metagame/Story/CH05MutantTown/Objects/MutantsUnderFireReward.prototype
127	3789258641381269891	Metagame/XMansionDefense/Objects/Redacted/XBrthrhoodPopObjectEncounterBV3.prototype
128	3799442260548525306	Populations/Encounters/CH8Subterranea/LavaCavesLavaDualFlowSM.prototype
