Index	PrototypeId	Name
0	0	
1	67404238875204176	Populations/Themes/OscorpUnused/AimSharedLabEncounters.prototype
2	357520305534540880	Populations/EncounterLists/CH8Subterranea/MoloidCavernsList.prototype
3	789524020438309974	Populations/EncounterLists/CH8Subterranea/ShallowCavesPList.prototype
4	886815980801299050	Populations/EncounterLists/Turrets.prototype
5	3333910751861348871	Populations/EncounterLists/CH6MutantTown/ProjectsList.prototype
6	4140601632151639276	Populations/EncounterLists/Global/Shrines.prototype
7	8921147687271208249	Populations/ListTypes/PopulationThemeList.defaults
8	9159899983870564684	Populations/EncounterLists/Misc/EruptingMoloidsList.prototype
9	9672193183907124971	Populations/EncounterLists/Global/ShieldCrates.prototype
10	9710533340901022937	Populations/EncounterLists/CH6MutantTown/PoliceCarEncounters.prototype
11	10070346392753478349	Populations/EncounterLists/CH6MutantTown/ChurchOilDrums.prototype
12	14077219918630622969	Populations/ListTypes/PopulationEncounterList.defaults
13	14943667794816604592	Populations/EncounterLists/Global/ShieldCratesDeadEnd.prototype
14	17233377855473457808	Populations/EncounterLists/CH8Subterranea/LavaCavesList.prototype
15	17873808000237114781	Populations/ListTypes/PopulationObjectList.defaults
16	18203783924535400643	Populations/EncounterLists/Global/SHIELDCrates100Pct.prototype
17	18357169184221370389	Populations/EncounterLists/Global/CombinedGlobals.prototype
