Index	PrototypeId	Name
0	0	
1	270125643650832033	Property/ArmorRangePresets/ArmorSlot3to5Lower.prototype
2	2139031059190258152	Property/ArmorRangePresets/Deprecated/ArmorSlot04Light.prototype
3	2165061668761834383	Property/ArmorRangePresets/ArmorSlot02.prototype
4	3710408762137057773	Property/ArmorRangePresets/Deprecated/ArmorSlot04Heavy.prototype
5	3976904553273365394	Property/ArmorRangePresets/ArmorSlot05.prototype
6	4766167495889524730	Property/ArmorRangePresets/RangeArmorSlot01Damage.prototype
7	5638001569320409574	Property/ArmorRangePresets/Deprecated/ArmorSlot02Light.prototype
8	6457194187486072190	Property/PropertyEntry.defaults
9	6931462946832651761	Property/ArmorRangePresets/ArmorSlot05Damage.prototype
10	6984921360800487915	Property/ArmorRangePresets/Deprecated/ArmorSlot02Heavy.prototype
11	7665916348226408969	Property/PropertyPickInRangeEntry.defaults
12	10422654588310918664	Property/ArmorRangePresets/ArmorSlot05Health.prototype
13	11319398048074635758	Property/ArmorRangePresets/Deprecated/ArmorSlot05Heavy.prototype
14	12833889066954526410	Property/PropertySetEntry.defaults
15	12954548232882493929	Property/ArmorRangePresets/Deprecated/ArmorSlot05Light.prototype
16	14882142122401405420	Property/ArmorRangePresets/Deprecated/ArmorSlot03Heavy.prototype
17	16106288291944862608	Property/ArmorRangePresets/ArmorSlot03.prototype
18	16165289466372561383	Property/ArmorRangePresets/Deprecated/ArmorSlot03Light.prototype
19	17779668577657492369	Property/ArmorRangePresets/ArmorSlot04.prototype
