Index	PrototypeId	Name
0	0	
1	17905099413135255	Regions/PvP/DefenderPvP/ConnectionTargets/DefenderTier3RedExitTarget.prototype
2	18293096962597357	Regions/Story/CH03Madripoor/ConnectionTargets/Waypoints/HiddenCoveWPTarget.prototype
3	24277559646038040	Regions/StoryRevamp/CH03Madripoor/TreasureRooms/Beach/StrangeCave/BeachToStrangeCaveTarget.prototype
4	29372950713605360	Regions/StoryRevamp/CH05MutantTown/Targets/JuggyBossEXTTarget.prototype
5	41743436289748349	Regions/ZZZUNUSED/DangerRoomDailies/Tier4Level60/Green/CastleDoom/Targets/DailyT4GDoomBotFactoryCPTarget.prototype
6	49646701777986040	Regions/Story/CH04EastSide/FiskTower/ConnectionTargets/FiskTowerBossTarget.prototype
7	68949077799414006	Regions/StoryRevamp/CH01HellsKitchen/TreasureRooms/TRBajillion/CH01TRBajillionInteriorTarget.prototype
8	69571225686780129	Regions/StoryRevamp/CH04EastSide/TreasureRooms/Targets/Interior/CH04TR02InteriorHauntedTarget.prototype
9	82800594942106688	Regions/StoryRevamp/CH06FortStryker/Transitions/PyroBossEXT.prototype
10	91849584019255602	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Green/ShockerSubway/Targets/DailyT3GShockerDefaultENDTarget.prototype
11	97669507105759472	Regions/StoryRevamp/CH01HellsKitchen/Transitions/NYPDRearInteriorTarget.prototype
12	100799482889121414	Regions/ZZZUNUSED/DangerRoomDailies/Tier2Xmansion/Green/Taskmaster/Targets/DailyT2GTaskmasterBossCPTarget.prototype
13	117011487758102439	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Green/MagnetoBunker/Targets/DailyT3GPyroToMagnetoTarget.prototype
14	121664499183592796	Regions/EndGame/Terminals/Red/MagnetoBunker/Targets/DailyRStrykerBunkerStartTarget.prototype
15	125174510036722310	Regions/RAIDS/MuspelheimRaid/ConnectionNodes/SurturRaidEnc3CheckpointTarget.prototype
16	138660591422218883	Regions/Story/CH01HellsKitchen1/ConnectionTargets/HKNYPD/HKNYPDBossExtTarget.prototype
17	139201896659757338	Regions/EndGame/DangerRoomMode/zzzDeprecatedAreas/Unused/MoloidCaverns/EDCaverns1StartTarget.prototype
18	151412153560084475	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Red/AsgardInstance/Targets/DailyT3RAsgardINSTEntryTarget.prototype
19	152691505241665836	Regions/EndGame/StaticScenarios/DrStrangeEvent/Cosmic/Targets/DrStrangeTimesSquareRespawnTargetRestaurantCosmi.prototype
20	189215537713194901	Regions/HUBS/zzzFullHubTest/HelicarrierPortalHub/ArrivalPortals/SubterraneaEntryPortal.prototype
21	200420509042288219	Regions/ZZZDevelopment/DevRooms/MissionDevelopment/Targets/MissionDevCH05EntryTarget.prototype
22	205239694456529932	Regions/StoryRevamp/CH03Madripoor/Transitions/BambooForestToHydraOutpostTarget.prototype
23	207589181056819779	Regions/Story/CH04EastSide/Subway/ConnectionTargets/HK2SubwayEXTentryTarget.prototype
24	208906435088033840	Regions/StoryRevamp/CH07SavageLand/TreasureRooms/TRSacredValley/SCSacredValleyTargetStart.prototype
25	218635491771098166	Regions/StoryRevamp/CH07SavageLand/TreasureRooms/TRStation/SCStationTargetStart.prototype
26	226545915960371084	Regions/HUBS/zzzFullHubTest/HelicarrierPortalHub/ArrivalPortals/HydraIslandEntryPortal.prototype
27	241887477377605722	Regions/StoryRevamp/CH05MutantTown/Targets/CH05MutantWarehouseExtEntry.prototype
28	250784557600220723	Regions/EndGame/Terminals/Red/KingpinsWarehouse/Targets/DailyRKPWarehouseStartTarget.prototype
29	276185123063537660	Regions/StoryRevamp/CH06FortStryker/Transitions/AIMWeaponsLabCacheEND.prototype
30	276981024276027845	Regions/HUBS/Helicarrier/HelicarrierHUBToNorwayTarget.prototype
31	277193222376337548	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Red/MagnetoBunker/Targets/DailyT3RBunkerInteriorStartTarg.prototype
32	290762135949160058	Regions/EndGame/Terminals/Cosmic/TimesSquare/Targets/RespawnTargets/DailyCTimesSquareStreetRespawnTarget.prototype
33	309527398662090366	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Red/Taskmaster/Targets/DailyT3RTaskmasterStartTarget.prototype
34	310495981523510256	Regions/EndGame/Terminals/Cosmic/KingpinsWarehouse/Targets/DailyCKPBossCPTarget.prototype
35	312936174564614149	Regions/PvP/DefenderPvP/ConnectionTargets/DefenderTier4BlueExitTarget.prototype
36	336970895971195712	Regions/Story/CH04EastSide/SCInstances/SCGazLabTargetStart.prototype
37	358499623277373688	Regions/EndGame/DangerRoomMode/Trainyard/Boss/ForRandomTheme/DRTrainyardBossEXTTargetRANDOM.prototype
38	359286794646135264	Regions/StoryRevamp/CH03Madripoor/LowTown/PrincessBar/CH03PrincessBarTarget.prototype
39	378609380617102562	Regions/ZZZUNUSED/SpokeRegions/Tier3/StripMine/Tier3Level12/StripMineL12EntryTarget.prototype
40	383479888796393814	Regions/RAIDS/MuspelheimRaid/ConnectionNodes/MoMNodes/MoMLeftEntryTarget.prototype
41	392268115577875048	Regions/StoryRevamp/CH05MutantTown/TreasureRooms/Targets/Exterior/CH05TR09PowerPlantTargetAccess.prototype
42	394653970667020197	Metagame/DefenderPvP/Deprecated/Defender1v2/LeftBase1v2Tier1EntryTarget.prototype
43	406767111093034449	Regions/Story/CH03Madripoor/ConnectionTargets/BroodCaveINTTarget.prototype
44	420200370433827437	Regions/StoryRevamp/CH03Madripoor/Transitions/HandTower/HandTowerBossTarget.prototype
45	430016498239876037	Regions/HUBS/zzzFullHubTest/MasterHub/FromMasterHubPortals/ToOtherHubs/MasterHubToXmansionPortal.prototype
46	451454635930954105	Regions/StoryRevamp/CH02JerseyDocks/TreasureRooms/Targets/Exterior/CH02TR01ExteriorSewerTarget.prototype
47	475060572742885258	Regions/StoryRevamp/CH04EastSide/Targets/CH0410FiskFrontExteriorTarget.prototype
48	497898147987271161	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Green/HoodsShip/Targets/DailyT3GHoodsShipEXITTarget.prototype
49	498394480287755989	Regions/ZZZUNUSED/DangerRoomDailies/Tier3Helicarrier/Green/Taskmaster/Targets/DailyT3GTaskmasterExitTarget.prototype
50	504402993780632738	Regions/StoryRevamp/CH05MutantTown/TreasureRooms/Targets/Exterior/CH05TR08MutantTownSewerTargetAccess.prototype
51	509587378266513554	Metagame/DefenderPvP/Deprecated/Defender1v2/RightStage1v2Tier2EntryTarget.prototype
52	518230060813722957	Regions/Operations/Events/DailyBugle/Transitions/OpsDailyBugleArchivesEntryTarget.prototype
53	526039397871399231	Regions/Story/CH10SecretInvasion/UpperMadripoor/ConnectionTargets/SewerConnections/SewerToUMadCentralAreaTarget.prototype
54	526363167024226370	Regions/EndGame/TierX/PatrolMidtown/Waypoints/MidtownWPTargetUnbanded.prototype
55	539028167671490206	Regions/Story/CH02JerseyDocks/ConnectionTargets/Checkpoints/HoodsHideoutLevel2CPTarget.prototype
56	539893179812949140	Regions/EndGame/TierX/UltronGameMode/ConnectionNodes/RandomStartLocations/Green/CentralToBossTargetG.prototype
57	549317465236120347	Regions/EndGame/TierX/PatrolMidtown/ConnectionTargets/XManhattanEntryTarget01.prototype
58	576105107115221809	Regions/StoryRevamp/CH05MutantTown/Targets/Waypoints/MutantWarehouseWPTarget.prototype
59	589822349659285856	Regions/Story/CH10SecretInvasion/LowerMadripoor/ConnectionTargets/Ch10PagodaFloorAEntryTarget.prototype
60	598389049341585379	Regions/EndGame/DangerRoomMode/VictoryRoomAreas/Testing/DRVictoryRoomTestingStartTarget.prototype
61	602512944291981980	Regions/StoryRevamp/CH05MutantTown/TreasureRooms/Targets/Interior/SCProjectsRooftopTargetStart.prototype
62	630781690367452696	Regions/Story/CH10SecretInvasion/UpperMadripoor/ConnectionTargets/UMadSafeZoneTarget.prototype
63	646581007621759075	Regions/StoryRevamp/CH04EastSide/Targets/CH0409MoloidInteriorFrontTarget.prototype
