Index	PrototypeId	Name
0	0	
1	42265415006100422	Entity/Items/TeamUps/Prototypes/Slot1/GiftedTeamUpGearSlot1.prototype
2	360756388584298837	Entity/Items/TeamUps/Prototypes/Slot2/TeamUpGearSlot2.prototype
3	3420450674609953107	Entity/Items/TeamUps/Prototypes/Slot1/TeamUpGearSlot1.prototype
4	3827971777230871498	Entity/Items/TeamUps/Prototypes/Slot3/GiftedTeamUpGearSlot3.prototype
5	5903442315784034649	Entity/Items/TeamUps/Prototypes/Slot4/TeamUpGearSlot4.prototype
6	7130114525711765639	Entity/Items/TeamUps/TeamUpGear.defaults
7	8037239292149700337	Entity/Items/TeamUps/Blueprints/TeamUpGearSlot2.defaults
8	8113295375451754793	Entity/Items/Test/TeamUpGearTest.prototype
9	8488189261326522759	Entity/Items/TeamUps/Blueprints/TeamUpGearSlot1Unique.defaults
10	9745728908283287283	Entity/Items/TeamUps/Blueprints/TeamUpGearSlot4.defaults
11	11311167969355963340	Entity/Items/TeamUps/Prototypes/Slot4/GiftedTeamUpGearSlot4.prototype
12	12250756938151434583	Entity/Items/TeamUps/Prototypes/Slot3/TeamUpGearSlot3.prototype
13	12539390587829229298	Entity/Items/TeamUps/Blueprints/TeamUpGearSlot3.defaults
14	14007319915454077896	Entity/Items/TeamUps/Prototypes/Slot2/GiftedTeamUpGearSlot2.prototype
15	17755552085905643248	Entity/Items/TeamUps/Blueprints/TeamUpGearSlot1.defaults
