Index	PrototypeId	Name
0	0	
1	1449977133867604486	Populations/Blueprints/Formations/Arc360FaceOriginSmall.prototype
2	1749666349180590486	Populations/Blueprints/Formations/Arc360FaceOriginHuge.prototype
3	2652814808955886190	Populations/Blueprints/Formations/Arc360FaceOriginMedium.prototype
4	3247878069190466040	Populations/Blueprints/Formations/Arc360FaceOriginLarge.prototype
5	4082679499783412555	Populations/Blueprints/Formations/Arc360FaceOriginInverse20.prototype
6	4897610423477017009	Populations/Blueprints/Formations/Arc360FaceOriginTiny.prototype
7	5707826198953859914	Populations/Blueprints/Formations/Arc360FaceOriginInverse10.prototype
8	5720412782036786322	Populations/Blueprints/Formations/Arc360FaceOriginHugeInverse.prototype
9	6049908026921588766	Populations/Blueprints/Formations/Arc360FaceOrigin1.prototype
10	8577628787301423845	Populations/Blueprints/Formations/Arc360FaceOriginMassive.prototype
11	9044397474570312302	Populations/Blueprints/Formations/Arc180MediumFaceOrigin.prototype
12	9461156283158240500	Populations/Blueprints/Formations/Arc360FaceOriginLargeInverse.prototype
13	11749288005379562316	Populations/Blueprints/Formations/Arc360FaceOriginInverse30.prototype
14	14022158718210939964	Populations/Blueprints/Formations/AgeOfUltronFormationTest.prototype
15	15031412756981554538	Populations/Blueprints/Formations/Arc360FaceOriginMediumInverse.prototype
16	15877559211802499245	Populations/Blueprints/Formations/ArcFormationType.defaults
17	15881935586364299351	Populations/Blueprints/Formations/Arc180FaceOrigin64.prototype
18	15902770352799423746	Populations/Blueprints/Formations/Arc360FaceOriginSmallInverse.prototype
19	16369710301628471330	Populations/Blueprints/Formations/Arc360FaceOrigin5.prototype
20	17017925656415509866	Populations/Blueprints/Formations/Arc180MediumFaceOriginInverse.prototype
21	17033964257347181741	Populations/Blueprints/Formations/Arc360FaceOriginTinyInverse.prototype
22	17837075645131790840	Populations/Blueprints/Formations/Arc180LargeFaceOrigin.prototype
