Index	PrototypeId	Name
0	0	
1	4565383593925043	Regions/Story/CH09Asgard/Norway/NorwayForestAreaBattle.prototype
2	15905641737888324	Regions/StoryRevamp/CH03Madripoor/BambooForest/PoisonGlades/PoisonGladeArea2.prototype
3	26538800313804243	Regions/StoryRevamp/CH05MutantTown/Areas/MutantWarehouse/CH05MutantWarehouseBossArea.prototype
4	48460523578925047	Regions/ZZZDemoBranch/DemoSavagelandsWAV/DemoArcticToJungleTransArea.prototype
5	72769606610594170	Regions/StoryRevamp/CH03Madripoor/TreasureRooms/Beach/SinkingFreighter/TRSinkingFreighterArea.prototype
6	77427460207483502	Regions/Story/CH09Asgard/Norway/NorwayPCZ/NorwayPCZAreaB.prototype
7	77624289197562319	Regions/ZZZDevelopment/DevColin/DevColinTwoAreasAreaA.prototype
8	118943905518983447	Regions/Story/CH09Asgard/LokiBoss/LokiBossDividerArea.prototype
9	141221421719494168	Regions/StoryRevamp/CH05MutantTown/Areas/Projects/CH05ProjectsArea.prototype
10	141358452632332172	Regions/StoryRevamp/CH06FortStryker/TreasureRooms/TRHangarAirstrip/SCHangarAirstripArea.prototype
11	149522487750632297	Regions/Story/CH04EastSide/UpperEastSide/MoloidInvasionHole/MoloidInvasionArea.prototype
12	155344730467281371	Regions/EndGame/OneShotMissions/NonChapterBound/BronxZoo/ZooAreas/InterAreas/ZooInterArea4Way2.prototype
13	165908345438479662	Regions/StoryRevamp/CH07SavageLand/Areas/BroodJungle/BroodCaves/BroodCavesLevel2Area.prototype
14	175615283936895558	Regions/ZZZDevelopment/DevRooms/LightingZoo/LightingZooCompositeNightArea.prototype
15	226603773863337632	Regions/Story/CH07SavageLand/TransitionAreas/CavesToMarshSouthArea.prototype
16	227371792232157880	Regions/HUBS/AsgardiaHUB/AsgardiaArea.prototype
17	231549681107342778	Regions/ZZZDevelopment/DevRooms/JosephAreaB.prototype
18	237859577099788647	Regions/ZZZDevelopment/DevRooms/MissionDevelopment/MissionDevCH01ZooArea.prototype
19	249524113958509696	Regions/Story/CH09Asgard/Siege/PathOneAreas/SiegeS11FinaleStart.prototype
20	266765127077206441	Regions/StoryRevamp/CH03Madripoor/LowTown/LowTownArea1.prototype
21	307100709842327667	Regions/EndGame/TierX/PatrolMidtown/XManhattanArea1.prototype
22	309461119652144202	Regions/StoryRevamp/CH04EastSide/Areas/LowerEastSide/WaxMuseum/CH0405WaxMuseumArea1.prototype
23	329270291484188549	Regions/ZZZUNUSED/CH09Subterranea/Subterranea/LavaCaves/LavaCavesArea.prototype
24	329771447133544706	Regions/EndGame/DangerRoomMode/Military/Testing/EDMilitaryExitCellFloor3.prototype
25	358657416940885382	Metagame/FactionPvP/Regions/PvPDistrictArea.prototype
26	407240811203930237	Regions/StoryRevamp/CH04EastSide/Areas/UpperEastSide/MaggiaRestaurant/CH0408MobRestaurantArea.prototype
27	427226605582489373	Regions/ZZZDevelopment/DevRooms/JanWyssDevArea.prototype
28	435693845725257292	Regions/ZZZDevelopment/DevRooms/MissionDevelopment/SCIDevCH01Area.prototype
29	435718482076179291	Regions/Story/CH03Madripoor/Transitions/ForestToCoveTrans2.prototype
30	442490308548041342	Regions/ZZZDevelopment/AudioTestRoom/AudioTestRoomArea.prototype
31	445046298984125711	Regions/EndGame/TierX/Limbo/Areas/LimboArea5.prototype
32	445277865810204969	Regions/Story/CH02JerseyDocks/SCInstances/FisheryArea.prototype
33	456996776935629338	Regions/StoryRevamp/CH09Asgard/Areas/Asgard/LokiBoss/LokiSpaaaceThroooneArea.prototype
34	494615563207056480	Regions/StoryRevamp/CH03Madripoor/Beach/BeachHydraOutpostArea.prototype
35	502870255708021762	Regions/Story/CH04EastSide/RedlightDistrict/SubRegions/MGHPlant/MGHPlantBossArea.prototype
36	502968371063363293	Regions/ZZZUNUSED/CH10HydraIsland/FrozenSeaArea.prototype
37	530205608606375962	Regions/Story/CH03Madripoor/MadripoorOutdoors/SecondBeachArea/CoveArea2.prototype
38	533696635954866482	Regions/EndGame/OneShotMissions/NonChapterBound/BronxZoo/ZooAreas/InterAreas/ZooInterAreaEW2.prototype
39	567129817830465176	Regions/Story/CH07SavageLand/TransitionAreas/CavesToMarshNorthArea.prototype
40	585757393685062419	Regions/StoryRevamp/CH08Latveria/TreasureRooms/TRLatveriaTavern/TRTavernArea2.prototype
41	597047817989072119	Regions/StoryRevamp/CH01HellsKitchen/Brownstones/Subway/CH01SubwayArea3FactoryBegin.prototype
42	613103155482011305	Regions/StoryRevamp/CH08Latveria/Areas/Latveria/CastleDoom/Interior/CastleInteriorAreaH.prototype
43	646784723393847499	Regions/StoryRevamp/CH04EastSide/TreasureRooms/Areas/CH04TR07BasementAreaA.prototype
44	650576386007508736	Regions/StoryRevamp/CH04EastSide/Areas/UpperEastSide/MoloidTunnel/Ch0409MoloidArea1Giganto.prototype
45	651139296398483771	Regions/StoryRevamp/CH08Latveria/Areas/Latveria/Doomstadt/LatveriaPCZArea3.prototype
46	651594485307155594	Regions/StoryRevamp/CH07SavageLand/TreasureRooms/TRMarshGrotto/SCMarshGrottoArea.prototype
47	657896931022871679	Regions/ZZZUNUSED/CH10SecretInvasion/UpperMadripoorAreaHotel.prototype
48	679766387541614167	Regions/StoryRevamp/CH03Madripoor/LowTown/HandTower/HandTowerArea3.prototype
