Index	PrototypeId	Name
0	0	
1	832680974399770625	Camera/DefaultSettingsHeroCam.prototype
2	1591894667664559880	Camera/ZZZDeprecated/PvPALL.prototype
3	1708401139909135921	Camera/ZZZDeprecated/PvP20.prototype
4	1889146038278098635	Camera/CamShorterSightLine.prototype
5	2245456412101053371	Camera/CameraTest1500.prototype
6	2694705208020438702	Camera/CamKnowhereOrbitalA.prototype
7	3093141417254719198	Camera/DefaultSettingsPvP15.prototype
8	3847498434618330721	Camera/DefaultSettingsHUB.prototype
9	3981970556908735676	Camera/CamDistMaxZoom.prototype
10	5223686554757763954	Camera/CamHighEvolutionaryBossOrbital.prototype
11	6517869101270437673	Camera/CamDistGenoshaEntryA.prototype
12	6583328594018110952	Camera/CamDistOnslaughtB.prototype
13	6929816314997116464	Camera/ZZZDeprecated/PvP10.prototype
14	7241898056368855062	Camera/TimesSquareCameraCutHulkMobRevealSettings.prototype
15	7634907388848245367	Camera/CamDist2400.prototype
16	8230755044749217058	Camera/DefaultSettings.prototype
17	8852455425510412943	Camera/DefaultSettingsDangerRoomHUB.prototype
18	9009800549105274544	Camera/CamKnowhereOrbitalC.prototype
19	11039630630261952675	Camera/ZZZDeprecated/CamBifrost.prototype
20	11156104270328761833	Camera/CamDistOnslaughtC.prototype
21	11176227031227961494	Camera/DefaultSettingsTutorial.prototype
22	11284451141819503221	Camera/ZZZDeprecated/CamDistSurturB.prototype
23	11499820497628893216	Camera/ZZZDeprecated/CamDist2000.prototype
24	12488933678804700729	Camera/ZZZDeprecated/Test.prototype
25	12705138435643149282	Camera/MaxZoomFalse.prototype
26	13585075415344418479	Camera/CamKnowhereOrbitalB.prototype
27	13682725126037769835	Camera/ZZZDeprecated/Test2.prototype
28	14032873910648966631	Camera/CamDistOnslaughtA.prototype
29	14688738104271179838	Camera/CameraSettingCollection.defaults
30	16627108946693787532	Camera/CamKnowhereHUBOrbital.prototype
31	16689377032100385324	Camera/CamDistHighEvolutionaryRear.prototype
32	16807513329718398151	Camera/CamDistSurturA.prototype
33	17544393285195337537	Camera/DefaultSettingsOrbis.prototype
34	18431866149659938850	Camera/ZZZDeprecated/CamDist2200.prototype
