Index	PrototypeId	Name
0	0	
1	13530402146161985	StoryStructure/Prototypes/Story/Ch09Asgard.prototype
2	341376562201567024	StoryStructure/Prototypes/EndGame/Dailies/DailiesCosmicExplanation.prototype
3	811326681651418774	StoryStructure/Prototypes/Story/Ch03Madripoor.prototype
4	944630014268939656	StoryStructure/Prototypes/EndGame/ChallengeModes/SHIELDHoloSim.prototype
5	1152615466587658424	StoryStructure/Prototypes/Story/Ch12ProjectPegasus.prototype
6	1282130393280814895	StoryStructure/Prototypes/EndGame/Tier2Xmansion/XmansionDailiesRed.prototype
7	1665307800324612972	StoryStructure/Prototypes/EndGame/Tier1AvengersTower/AvengersTowerDailiesRed.prototype
8	1709072140258453326	StoryStructure/Prototypes/EndGame/ChallengeModes/CivilWarAirfieldCaptainAmericaChapter.prototype
9	1806613744469286908	StoryStructure/Prototypes/EndGame/ChallengeModes/AxisRaidChapterInfo.prototype
10	2020259657658144399	StoryStructure/Prototypes/Bonus/ChapterBonus.prototype
11	2063087709540062644	StoryStructure/Prototypes/Story/Ch00TheRaft.prototype
12	2421740392778307105	StoryStructure/Prototypes/Story/CH10Epilogue.prototype
13	3395977674958775053	StoryStructure/Prototypes/EndGame/ChallengeModes/RAIDSurturGreenChapterInfo.prototype
14	3438747045102756577	StoryStructure/Prototypes/EndGame/ChallengeModes/DarkDimensionChapterCosmic.prototype
15	3593730001839202666	StoryStructure/Prototypes/EndGame/Tier3Helicarrier/HelicarrierDailiesRed.prototype
16	3655239155838884432	StoryStructure/Prototypes/EndGame/Dailies/SharedQuests.prototype
17	3891071929211492330	StoryStructure/Prototypes/Story/Ch08LatveriaPlus.prototype
18	3895886200885093021	StoryStructure/Prototypes/EndGame/ChallengeModes/CivilWarCrossbonesChapter.prototype
19	4235299389372766334	StoryStructure/Prototypes/Bonus/ChapterChallenges.prototype
20	4354348746537378117	StoryStructure/Prototypes/EndGame/ChallengeModes/SuperHeroicGateChapter.prototype
21	4508125609554746861	StoryStructure/Prototypes/EndGame/Dailies/DailiesRedExplanation.prototype
22	4721365134708121649	StoryStructure/Prototypes/EndGame/Tier4Level60/HelicarrierDailiesRedL60.prototype
23	5507521734251910561	StoryStructure/Prototypes/Story/Ch13Wakanda.prototype
24	5587062766818958666	StoryStructure/Prototypes/EndGame/Dailies/OneShotsExplanation.prototype
25	6005646209858938139	StoryStructure/Prototypes/EndGame/ChallengeModes/CivilWarCrossbonesChapterCosmic.prototype
26	6154464974016159144	StoryStructure/Prototypes/EndGame/ChallengeModes/MidtownPatrol.prototype
27	6742822583298890127	StoryStructure/Prototypes/Bonus/RepQuestCivilWarCap.prototype
28	6761084689151828006	StoryStructure/Prototypes/EndGame/ChallengeModes/MidtownPatrolCosmic.prototype
29	7055580433884583877	StoryStructure/Prototypes/Story/Ch01HellsKitchen.prototype
30	7141021622959609938	StoryStructure/Prototypes/Bonus/RepQuestsGenosha.prototype
31	7337153140822385027	StoryStructure/Prototypes/EndGame/Tier1AvengersTower/AvengersTowerGroup.prototype
32	7434264611913013102	StoryStructure/Prototypes/Story/Ch02JerseyDocks.prototype
33	7739811744202236865	StoryStructure/Prototypes/EndGame/ChallengeModes/SuperHeroicGateChapterNoGear.prototype
34	7842746877943292429	StoryStructure/Prototypes/EndGame/ChallengeModes/AxisRaidGreenChapterInfo.prototype
35	8433269992891879889	StoryStructure/Blueprints/Chapter.defaults
36	9277616994653971600	StoryStructure/Prototypes/EndGame/ChallengeModes/CivilWarAirfieldIronManChapter.prototype
37	9485853206122141411	StoryStructure/Prototypes/Story/Ch07SavageLand.prototype
38	9860082406184981768	StoryStructure/Prototypes/Story/ChXXHubs.prototype
39	9926332880529921947	StoryStructure/Prototypes/Story/Ch06FortStryker.prototype
40	9972601449238112014	StoryStructure/Prototypes/EndGame/ChallengeModes/CivilWarAirfieldIronManChapterCosmic.prototype
41	9974573822868133402	StoryStructure/Prototypes/Bonus/ChapterLore.prototype
42	10220717084340133348	StoryStructure/Prototypes/EndGame/ChallengeModes/XDefenseCosmic.prototype
43	10260464453815048372	StoryStructure/Prototypes/Story/Ch10SecretInvasion.prototype
44	10513905138809968633	StoryStructure/Prototypes/FandF/FriendsAndFamily.prototype
45	10585853867680932447	StoryStructure/Prototypes/EndGame/ChallengeModes/IndustryCityPatrolCosmic.prototype
46	10660245058585698567	StoryStructure/Prototypes/EndGame/Tier4Level60/HelicarrierDailiesGreenL60.prototype
47	11336072727295432492	StoryStructure/Prototypes/Story/Ch05MutantTown.prototype
48	11535629281752064567	StoryStructure/Prototypes/EndGame/ChallengeModes/RAIDSurturRedChapterInfo.prototype
49	11537122071010746138	StoryStructure/Prototypes/EndGame/ChallengeModes/CosmicGateChapter.prototype
50	11872785331406248806	StoryStructure/Prototypes/EndGame/ChallengeModes/XDefense.prototype
51	12235086740768890065	StoryStructure/Prototypes/EndGame/Legendary/LegendaryMission.prototype
52	12421931088704116771	StoryStructure/Prototypes/Development/ChapterDev.prototype
53	12477177681075708310	StoryStructure/Prototypes/EndGame/ChallengeModes/CosmicGateChapterNoGear.prototype
54	12868927697569454221	StoryStructure/Prototypes/EndGame/PvP/Chapters/PvP.prototype
55	13222266837592449385	StoryStructure/Prototypes/EndGame/Tier1AvengersTower/AvengersTowerLimbo.prototype
56	13346527998557693083	StoryStructure/Prototypes/EndGame/ChallengeModes/UltronGameModeChapterInfoGreen.prototype
57	13477425725312805324	StoryStructure/Prototypes/EndGame/ChallengeModes/CivilWarAirfieldCaptainAmericaChapterCosmic.prototype
58	13544869993604652929	StoryStructure/Prototypes/EndGame/Tier3Helicarrier/HelicarrierGroup.prototype
59	13901136378265279179	StoryStructure/Prototypes/EndGame/Dailies/EventMissions.prototype
60	14618968826121232695	StoryStructure/Prototypes/EndGame/ChallengeModes/AxisRaidRedChapterInfo.prototype
61	14657276388980168698	StoryStructure/Prototypes/Story/Ch04HellsKitchen2.prototype
62	14660911533779132422	StoryStructure/Prototypes/EndGame/ChallengeModes/SHIELDHoloSimCosmic.prototype
63	14817349181325122886	StoryStructure/Prototypes/EndGame/Tier2Xmansion/XmansionGroup.prototype
64	15003517112435940878	StoryStructure/Prototypes/EndGame/ChallengeModes/HightownPatrol.prototype
65	15304806875032855104	StoryStructure/Prototypes/EndGame/Tier3Helicarrier/HelicarrierDailiesGreen.prototype
66	15318665260815685376	StoryStructure/Prototypes/Story/Ch11OscorpLabs.prototype
67	15572205391055100466	StoryStructure/Prototypes/ZZZDeprecated/DailiesCosmic.prototype
68	15836534159460869384	StoryStructure/Prototypes/EndGame/ChallengeModes/UltronGameModeChapterInfoCOSMIC.prototype
69	16348205248242326351	StoryStructure/Prototypes/Bonus/RepQuestCivilWarIronMan.prototype
70	16643166729628360844	StoryStructure/Prototypes/EndGame/ChallengeModes/HightownPatrolCosmic.prototype
71	16830599643522605155	StoryStructure/Prototypes/EndGame/ChallengeModes/DarkDimensionChapter.prototype
72	17138966246373728022	StoryStructure/Prototypes/EndGame/ChallengeModes/HeroicGateChapter.prototype
73	17246243210503464002	StoryStructure/Prototypes/EndGame/Tier1AvengersTower/AvengersTowerDailiesGreen.prototype
74	17311568285552877251	StoryStructure/Prototypes/EndGame/Dailies/DailiesGreenExplanation.prototype
75	17331120057541665052	StoryStructure/Prototypes/EndGame/ChallengeModes/IndustryCityPatrolRed.prototype
76	18214820044343746565	StoryStructure/Prototypes/EndGame/Tier2Xmansion/XmansionDailiesGreen.prototype
77	18297726841278111713	StoryStructure/Prototypes/EndGame/ChallengeModes/IndustryCityPatrol.prototype
