Index	PrototypeId	Name
0	0	
1	159610695025432633	Waypoints/Checkpoints/CH03Madripoor/CoveToForestCP.prototype
2	397532638866185548	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaDoomBossINTCP.prototype
3	522865512663488569	Waypoints/Checkpoints/CH03Madripoor/ForestToCoveCP.prototype
4	1149977688250194449	Waypoints/Checkpoints/CH02Brooklyn/HoodsHideoutLevel2CP.prototype
5	1996980687539148813	Waypoints/Checkpoints/CH07Savageland/SauronCavesCP.prototype
6	2694946789323773657	Waypoints/Checkpoints/CH03Madripoor/SafehouseCP.prototype
7	2970446832511752341	Waypoints/Checkpoints/CH02Brooklyn/BrooklynBridgeCP.prototype
8	4182141762865732198	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaArea2CP.prototype
9	4402000158661481867	Waypoints/Checkpoints/CH07Savageland/RiverCP.prototype
10	4628617770543355787	Waypoints/Checkpoints/CH07Savageland/BroodCavesCP.prototype
11	5420555042647581874	Waypoints/Endgame/Terminals/Tier1AvengersTower/Green/Checkpoints/MrSinisterBaseCP.prototype
12	5732305890221560990	Waypoints/Checkpoints/CheckpointTemplate.prototype
13	7547187893292508649	Waypoints/Endgame/Terminals/Tier1AvengersTower/Green/Checkpoints/DailyHoodsHideoutCP.prototype
14	7867039771107530430	Waypoints/Checkpoints/CH08Finale/MandarinBossCP.prototype
15	8258163083049375955	Waypoints/Checkpoints/CH08Finale/AIMWeaponFacilityCP.prototype
16	8430675383457359323	Waypoints/Endgame/Terminals/Tier1AvengersTower/Green/Checkpoints/DailyMandarinBossCP.prototype
17	8468772916226497813	Waypoints/Checkpoints/CH06FortStryker/QuietToTrainingForestCP.prototype
18	9782837674432993893	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaArea1CP.prototype
19	9861863302659186241	Waypoints/Checkpoints/CH06FortStryker/TrainingForestToArmyBaseCP.prototype
20	10411422908537184401	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaFinaleEntryInstanceCP.prototype
21	10823956620541171717	Waypoints/Checkpoints/CH07Savageland/MutateCavesCP.prototype
22	13001040983755593285	Waypoints/Checkpoints/CH05MutantTown/SewersCP.prototype
23	13365405019869550160	Waypoints/Checkpoints/CH08Finale/HYDRAIslandCP.prototype
24	13560726935244115032	Waypoints/Checkpoint.defaults
25	14453073964109536257	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaDoomBossCP.prototype
26	14878173984496359783	Waypoints/Checkpoints/CH01HellsKitchen01/SubwaySewerCP.prototype
27	16064301683615537163	Waypoints/Checkpoints/CH03Madripoor/HydraMilBaseCP.prototype
28	16690105213456816743	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaArea3CP.prototype
29	17734454171198889607	Waypoints/Checkpoints/CH08Finale/Latveria/LatveriaDoomBotFactoryCP.prototype
