Index	PrototypeId	Name
0	0	
1	27007243852389523	Resource/Encounters/CH6MutantTown/ThreatenedCivilianMLABrute.encounter
2	43746494660090522	Resource/Encounters/Discoveries/CH3_OMHandStorm_Spawn_V2.encounter
3	76446490137270946	Resource/Encounters/Discoveries/CH7_AIM_Over_King_Lizard.encounter
4	76685302684391943	Resource/Encounters/Discoveries_TR/CH02_Club_AIM_Robots.encounter
5	79786143530096950	Resource/Encounters/CH03Madripoor/Lounge_Hand_Hangout.encounter
6	109406899107470252	Resource/Encounters/Discoveries/CH7_Pterosaur_SHIELDCorpse.encounter
7	114151332654947661	Resource/Encounters/Discoveries_TR/CH07_Base_SHIELD_Investigate.encounter
8	128589153785158248	Resource/Encounters/PatrolBrooklyn/AIM_Dino_Police_SmV4.encounter
9	134455531734964367	Resource/Encounters/Discoveries/CH7_AIMPair_Talking.encounter
10	137105270787021436	Resource/Encounters/Discoveries/DRSurvival_Civilians_V2.encounter
11	142240164361542787	Resource/Encounters/CH10SecretInvasion/OM_Skrull_Formation_M6.encounter
12	149828988993805391	Resource/Encounters/Discoveries/CH6_Purifier_CommanderPacing.encounter
13	161809390841502442	Resource/Encounters/Discoveries/HUB_HC_SHIELD_M_Seated_V1.encounter
14	175653846336608541	Resource/Encounters/Endgame/OneShots/VMineBossManApe.encounter
15	177259705423305190	Resource/Encounters/Discoveries/CH7_Mutates_TalkingAIM.encounter
16	180244888873998849	Resource/Encounters/Discoveries/HUB_Xman_Chatting_F05M05.encounter
17	202618739650140816	Resource/Encounters/Discoveries/CH10_Police_Civ_Duo_MM_V1.encounter
18	206211632874789277	Resource/Encounters/Discoveries/CH1_Zoo_Employee_Tour.encounter
19	216357771963210183	Resource/Encounters/Formations/CH6_Purifiers_Medium_V5.encounter
20	221916373975177559	Resource/Encounters/Discoveries/CH2_AIM_Mole_Frenzied.encounter
21	222375373639588408	Resource/Encounters/CH09Norway/OM_StoneCircle_FGSpawner.encounter
22	257112930991675720	Resource/Encounters/Discoveries/OM_UnfriendlyCargo_00.encounter
23	257818833970207906	Resource/Encounters/Discoveries/CH4_MOLOID_Surround_CivCar_V1.encounter
24	259659993990503099	Resource/Encounters/Discoveries/AsgardINS_Injured_Duo_V1.encounter
25	276532227402570348	Resource/Encounters/Discoveries/CH8_SHIELD_Unit_Large_V1.encounter
26	288687613627013116	Resource/Encounters/Discoveries/CH9_Civs_Duo_MF_V4.encounter
27	291542494802679650	Resource/Encounters/Discoveries/CH3_SERP_Talking.encounter
28	292959620551285793	Resource/Encounters/Discoveries_TR/CH01_Zoo_Aquarium_1Elite_1.encounter
29	294118064080952497	Resource/Encounters/CH10SecretInvasion/CH10_Pagoda_Encounter_V8.encounter
30	301034905589128171	Resource/Encounters/Discoveries/CH4_MOLOID_Leaper_vs_Couple.encounter
31	302333247302474388	Resource/Encounters/Discoveries/CH10_Hand_Talking_Trio_V1.encounter
32	303726110181432215	Resource/Encounters/Discoveries/CH8_SG_Inspecting_Doombots.encounter
33	310332034772113987	Resource/Encounters/Endgame/OneShots/VMineDoraMilajeEnd.encounter
34	329473874635200978	Resource/Encounters/Discoveries/CH3_OMNgaraiRaidReward.encounter
35	332950858188004128	Resource/Encounters/Discoveries/CH7_Reaver_Talking_Mutate.encounter
36	333972502916832171	Resource/Encounters/Discoveries/CH9_DarkElf_Talking_Trio_V2.encounter
37	334954105419143214	Resource/Encounters/Ch1HellsKitchen/BossCH01Shocker.encounter
38	339273634974800806	Resource/Encounters/CH6MutantTown/MG/MG_SHILED_Defense_Base.encounter
39	343197783676558427	Resource/Encounters/CH6MutantTown/UnloadingWeaponsPurifiers.encounter
40	344687105670454088	Resource/Encounters/CH03Madripoor/Grove_Hand_Threaten_Civs.encounter
41	360823823480593636	Resource/Encounters/Discoveries/CH1_OMSavePolice_HoodlumSpawn.encounter
42	361203172710226242	Resource/Encounters/Discoveries/CH7_FallPeopleSolo_M2.encounter
43	363468092467583024	Resource/Encounters/Discoveries/EG_Cow_Standoff_V1.encounter
44	370041862022371366	Resource/Encounters/Discoveries/HUB_Asgard_CivM_V1.encounter
45	381607268305804313	Resource/Encounters/CH09Norway/OM_StoneCircle_DarkElfFaeKing.encounter
46	384700113517485213	Resource/Encounters/Discoveries/CH09_OMForgottenPyre_Spawn_V7.encounter
47	390096698948394553	Resource/Encounters/Discoveries_TR/CH06_Mineshaft_Sentinel_Repair.encounter
48	394600670080997503	Resource/Encounters/Formations/CH1_Street_Medium_V4.encounter
49	397293914918296559	Resource/Encounters/CH09AsgardSiege/CH09_OMDoorDefend_TopPack.encounter
50	401450884906162266	Resource/Encounters/Discoveries/Social_VendorDuoV2.encounter
51	407911893146868560	Resource/Encounters/Discoveries/CH3_SERP_SurroundingHYDRA.encounter
52	422802285258152309	Resource/Encounters/Discoveries/HUB_Asgard_VendorM_V4.encounter
53	429137629826128427	Resource/Encounters/Discoveries/CH5_Mutants_BBall_M09_M10.encounter
54	429585089186110396	Resource/Encounters/Discoveries_TR/CH03_Grotto_HYDRA_Hiding.encounter
55	462101694253308897	Resource/Encounters/Discoveries/CH8_DB_Blockade_Deathpose_V2.encounter
56	470258521505864134	Resource/Encounters/Discoveries/DRSurvival_Mutants_V2.encounter
57	489746855610293877	Resource/Encounters/Endgame/NorwayCowLevel/EG2_Cow_Talking_Trio_V1.encounter
58	492476415062054687	Resource/Encounters/Formations/CH2_AIM_Medium_V3.encounter
59	502910085276835631	Resource/Encounters/Endgame/NorwayCowLevel/EG2_FGiant_Talking_Duo_V1.encounter
60	507884702946366842	Resource/Encounters/Discoveries/SHIELD_Raid.encounter
61	517002705194195778	Resource/Encounters/Ch1HellsKitchen/SymbiotePS_WoundedCop.encounter
62	522968316752893836	Resource/Encounters/Formations/CH7_Brood_Large_V2.encounter
63	533244680471190805	Resource/Encounters/Endgame/SurturRaid/SurturRaid_Enc4_Elite_O.encounter
64	541587364491499271	Resource/Encounters/CH00TheRaft/RescueHostagesV1.encounter
65	553604310682902543	Resource/Encounters/CH09AsgardianWaterways/MalekithInstanceController.encounter
66	559039126362331933	Resource/Encounters/Discoveries/CH1_Zoo_Employee_BadWater.encounter
67	559162176646224489	Resource/Encounters/Discoveries/CH9_SHIELD_vs_Elf_Duo_V1.encounter
68	560743361933941648	Resource/Encounters/Discoveries/CH3_CivilianM01_HYDRAMaleCH3.encounter
69	565781399310047768	Resource/Encounters/CH09ThroneRoom/LokiPhase1Controller.encounter
70	571290528651025023	Resource/Encounters/Discoveries/CH9_Siege_DEOverCivs_MV2.encounter
71	574292966921673016	Resource/Encounters/PatrolBrooklyn/AIM_Dino_Deal_PMC.encounter
72	598581737356795231	Resource/Encounters/Discoveries/CH1_Zoo_Employee_LizardMonkeys.encounter
73	601781313982307094	Resource/Encounters/CH10SecretInvasion/OM_SH_Civs_Table_V5.encounter
74	602177804180593536	Resource/Encounters/Discoveries/OMSHIELDBeachheadPointerP3.encounter
75	628944191911237805	Resource/Encounters/Discoveries/Tut_CivF_Traffic_V4.encounter
76	629590449158036159	Resource/Encounters/Discoveries/CH2_OMArson_RescueRubble.encounter
77	649595985922433438	Resource/Encounters/Endgame/EndlessDungeon/ED_LvlAffix_BarrelCluster_SM_C.encounter
78	656017670833576679	Resource/Encounters/Props/CivilWar_SHIELDcratecluster_v2.encounter
79	663486739496639223	Resource/Encounters/Discoveries/CH6_ReaversPair_TalkingV2.encounter
80	663827337324075435	Resource/Encounters/Discoveries/AIMBlaster_AIMBrawler.encounter
