Index	PrototypeId	Name
0	0	
1	1449977133867604486	Populations/Blueprints/Formations/Arc360FaceOriginSmall.prototype
2	1564759709393753565	Populations/Blueprints/Formations/ZeroStack.prototype
3	1749666349180590486	Populations/Blueprints/Formations/Arc360FaceOriginHuge.prototype
4	1893910408116836986	Populations/Blueprints/Formations/LineFormationInverse.prototype
5	1932129373506967415	Populations/Blueprints/Formations/FormationType.defaults
6	2652814808955886190	Populations/Blueprints/Formations/Arc360FaceOriginMedium.prototype
7	2696612557155475071	Populations/Blueprints/Formations/CarSidewaysWithTwoGuysOnRight.prototype
8	2907619081027918215	Populations/Blueprints/Formations/FixedFormationType.defaults
9	3247878069190466040	Populations/Blueprints/Formations/Arc360FaceOriginLarge.prototype
10	4082679499783412555	Populations/Blueprints/Formations/Arc360FaceOriginInverse20.prototype
11	4897610423477017009	Populations/Blueprints/Formations/Arc360FaceOriginTiny.prototype
12	5707826198953859914	Populations/Blueprints/Formations/Arc360FaceOriginInverse10.prototype
13	5708457951950412197	Populations/Blueprints/Formations/LineFormationType32.prototype
14	5720412782036786322	Populations/Blueprints/Formations/Arc360FaceOriginHugeInverse.prototype
15	6049908026921588766	Populations/Blueprints/Formations/Arc360FaceOrigin1.prototype
16	6429255786720532767	Populations/Blueprints/Formations/LineFormationType.defaults
17	7041348171322300506	Populations/Blueprints/Formations/LineFormation2x2.prototype
18	8577628787301423845	Populations/Blueprints/Formations/Arc360FaceOriginMassive.prototype
19	9044397474570312302	Populations/Blueprints/Formations/Arc180MediumFaceOrigin.prototype
20	9446507334278125664	Populations/Blueprints/Formations/LineFormation2x8.prototype
21	9461156283158240500	Populations/Blueprints/Formations/Arc360FaceOriginLargeInverse.prototype
22	9872504571767101532	Populations/Blueprints/Formations/LineFormation2x4.prototype
23	11749288005379562316	Populations/Blueprints/Formations/Arc360FaceOriginInverse30.prototype
24	13057399931701041950	Populations/Blueprints/Formations/LineFormationAndLeader.prototype
25	14022158718210939964	Populations/Blueprints/Formations/AgeOfUltronFormationTest.prototype
26	14393957281834014583	Populations/Blueprints/Formations/FormationSlot.defaults
27	15031412756981554538	Populations/Blueprints/Formations/Arc360FaceOriginMediumInverse.prototype
28	15877559211802499245	Populations/Blueprints/Formations/ArcFormationType.defaults
29	15881935586364299351	Populations/Blueprints/Formations/Arc180FaceOrigin64.prototype
30	15888004683864086617	Populations/Blueprints/Formations/LineFormation1x2.prototype
31	15902770352799423746	Populations/Blueprints/Formations/Arc360FaceOriginSmallInverse.prototype
32	16369710301628471330	Populations/Blueprints/Formations/Arc360FaceOrigin5.prototype
33	16590449852402768772	Populations/Blueprints/Formations/CarWith2GuysFacingFront.prototype
34	17017925656415509866	Populations/Blueprints/Formations/Arc180MediumFaceOriginInverse.prototype
35	17033964257347181741	Populations/Blueprints/Formations/Arc360FaceOriginTinyInverse.prototype
36	17392060110280267968	Populations/Blueprints/Formations/BoxFormationType.defaults
37	17837075645131790840	Populations/Blueprints/Formations/Arc180LargeFaceOrigin.prototype
