Index	PrototypeId	Name
0	0	
1	577430355515219383	Powers/Blueprints/Targeting/GamepadSettings/Range400SummonEntity.prototype
2	730750930297362988	Powers/Blueprints/Targeting/GamepadSettings/Range500Long.prototype
3	4709069467011326066	Powers/Blueprints/Targeting/GamepadSettings/ChannelPowerOrientToEnemy.prototype
4	6836655778936527394	Powers/Blueprints/Targeting/GamepadSettings/Range100Self.prototype
5	6923339471566021707	Powers/Blueprints/Targeting/GamepadSettings/Range500ClearContinuousInitialTarget.prototype
6	7018434055392467628	Powers/Blueprints/Targeting/GamepadSettings/Range550Arrow.prototype
7	8203555036522226089	Powers/Blueprints/Targeting/GamepadSettings/ClearContinuousInitialTarget.prototype
8	8269621203818650363	Powers/Blueprints/Targeting/GamepadSettings/Range300Medium.prototype
9	8503365433220802863	Powers/Blueprints/Targeting/GamepadSettings/MeleeMoveIntoRangeClearContinuousInitialTarget.prototype
10	9113140562792291507	Powers/Blueprints/Targeting/GamepadSettings/TeleportToTarget.prototype
11	11689528476805436811	Powers/Blueprints/Targeting/GamepadSettings.defaults
12	11801809594462641504	Powers/Blueprints/Targeting/GamepadSettings/MeleeMoveIntoRange.prototype
13	15129657646048746582	Powers/Blueprints/Targeting/GamepadSettings/Range650ExtraLong.prototype
14	15346331155062266537	Powers/Blueprints/Targeting/GamepadSettings/Range200Short.prototype
15	15799344893068516178	Powers/Blueprints/Targeting/GamepadSettings/Range500Grenade.prototype
16	16295374591673640997	Powers/Blueprints/Targeting/GamepadSettings/Range650ExtraLongClearContinuousInitialTarget.prototype
17	17710858177567008379	Powers/Blueprints/Targeting/GamepadSettings/Range550ArrowClearContinuousInitialTarget.prototype
