Index	PrototypeId	Name
0	0	
1	4058015368359909779	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost7Ymir.prototype
2	5285419922235136701	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost1Medkits.prototype
3	6658201981888896173	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost8YmirUpgrade1.prototype
4	9754161547364342376	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost6Unique.prototype
5	9956519548591021308	Events/GlobalEvents/Blueprints/GlobalEventCriteriaItemCollect.defaults
6	11378776245216876920	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost3Rare.prototype
7	11751574511122455118	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost5Cosmic.prototype
8	14464754553086548071	Events/GlobalEvents/Blueprints/GlobalEventCriteria.defaults
9	17819651225779510073	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost2Uncommon.prototype
10	17958646591991060848	Events/GlobalEvents/Events/BiFrostUnlock/Bifrost4Epic.prototype
