Index	PrototypeId	Name
0	0	
1	91262910815801360	Metagame/CosmicGate/CosmicGate.prototype
2	194720964389577882	Metagame/Story/CH10SecretInvasion/AvengersTowerInvasion/CH10AvengersTowerInvasion.prototype
3	350019119881197651	Metagame/Story/CH04EastSide/CH0402LowerEastPopManager.prototype
4	389763433271073063	Metagame/DangerRoom/Modes/DangerRoomInfoNotification.prototype
5	519841769654131639	Metagame/Story/CH00Prologue/CH00TutorialCity/CH00TutorialCity.prototype
6	574449261380968795	Metagame/StaticScenarios/CivilWarAirport/ScenarioCivilWarAirportIronMan.prototype
7	1053186053023666731	Metagame/FactionPvP/FactionPvPTier1.prototype
8	1054367887363091010	Missions/Prototypes/Story/CH02BrooklynDocks/Events/InstanceEventRhino/MetaGame/CH02RhinoMetaGame.prototype
9	1542788243808195424	Metagame/DevMobFamilies/DevMobFamilies.prototype
10	1734347014446912190	Metagame/Raids/Surtur/SurturMetagame.prototype
11	1940088625030632811	Metagame/Story/CH01HellsKitchen/OLDCH01Events.prototype
12	2007209586142353400	Metagame/DefenderPvP/Deprecated/DefenderPvP2v3Tier2.prototype
13	2017061305567156533	Metagame/PvEWaveBase/PvEScalePrivate/PvEScalePrivate.prototype
14	2108046585026518452	Metagame/StaticScenarios/BroodShip/DangerRoomChallengeBroodShip.prototype
15	2140634644043404383	Metagame/AgeOfUltron/AgeOfUltronMetaGame.prototype
16	2252352326339726672	Entity/MetaGame/Mission.defaults
17	2547671019330999716	Metagame/Raids/Surtur/SurturMetagameFiveMan.prototype
18	2847478299657968033	Metagame/Story/CH02BrooklynDocks/CH0208CanneryPopManager.prototype
19	2898925322127086174	Metagame/Raids/Axis/AxisRaidMetaGame.prototype
20	3511483419998362561	Metagame/PvEWaveBase/PvEScaleBattle/PvEScaleBattleLimboT3L13.prototype
21	4426868225250038967	Metagame/Story/CH00Prologue/CH00Raft/CH00Raft.prototype
22	4633131396540080302	Metagame/DangerRoom/UniqueScenarioMetaGames/Cable/DangerRoomUniqueCable.prototype
23	4804881089488622302	Metagame/DefenderPvP/DefenderPvPTier2.prototype
24	4830023889587541169	Metagame/OneShots/RedSkull/OSAxisMetaGame.prototype
25	4973656049331933254	Metagame/FactionPvP/FactionPvP.prototype
26	5063429442125439068	Metagame/Story/CH10SecretInvasion/XMansionInvasion/CH10XMansionInvasion.prototype
27	5111746773629215233	Metagame/CosmicGate/CosmicGateWhitelistVariant/CosmicGateWhitelistVariant.prototype
28	5319737871765344916	Metagame/Story/CH08Latveria/CH08Events.prototype
29	5348303544964877608	Metagame/DangerRoomPvP.prototype
30	5369932813660591636	Metagame/Hubs/FurysToolshed/CH10FurysToolshed.prototype
31	5553392611219544356	Metagame/Story/CH01HellsKitchen/CH01PowerPlantMetaGame.prototype
32	5659532780034464837	Metagame/Story/CH04EastSide/ToBeDeprecated/CH04LowerEastEvents.prototype
33	6097386918861804439	Metagame/Story/CH05MutantTown/CH05Events.prototype
34	6147222420609830223	Metagame/Blueprints/PvP.defaults
35	6256480757765905369	Metagame/Story/CH02BrooklynDocks/CH0205ConstructionPopManager.prototype
36	6264809325449253421	Metagame/FactionPvP/FactionPvPTier3.prototype
37	6588715045724687891	Metagame/PvPTrainingRoom.prototype
38	6598590120101876694	Metagame/PatrolBrooklyn/PatrolBrooklyn.prototype
39	6629071838596043783	Metagame/Story/CH06FortStryker/CH06Events.prototype
40	6860467161117497334	Metagame/DefenderPvP/Deprecated/DefenderPvP1v2Tier2.prototype
41	7752181944012968673	Metagame/DefenderPvP/DefenderPvPTier5.prototype
42	7921451935254978459	Metagame/StaticScenarios/CivilWarAirport/ScenarioCivilWarAirportCap.prototype
43	8198188994388365510	Entity/MetaGame/MissionInstance.prototype
44	8452584734471360524	Metagame/CosmicGate/HeroicGate.prototype
45	8492235970005572680	Metagame/Story/CH04EastSide/ToBeDeprecated/CH04UpperEastEvents.prototype
46	8624789933868783501	Metagame/PvEWaveBase/PvEWaveBattle/PvEWaveBattle.prototype
47	8856338387787389394	Metagame/PvEWaveBase/PvEScaleBattle/PvEScaleBattleBase.prototype
48	8940063519653695994	Metagame/Hubs/GenoshaHub/GenoshaHub.prototype
49	9046697162919907500	Metagame/HoloSim/HoloSim60Cosmic.prototype
50	9208180499644682798	Metagame/FactionPvP/FactionPvPTier4.prototype
51	9383650573665638391	Metagame/DefenderPvP/Deprecated/DefenderPvP2v3Tier1.prototype
52	9448695112558252767	Metagame/DefenderPvP/DefenderPvPTier3.prototype
53	9891139731131996392	Metagame/Story/CH10SecretInvasion/Lowtown/CH10Lowtown.prototype
54	9979588575821832682	Metagame/StaticScenarios/DangerRoomTrainyard/DangerRoomChallengeTrainyard.prototype
55	10368581459421239382	Metagame/Story/CH04EastSide/CH0402UpperEastPopManager.prototype
56	10488643618483083123	Metagame/Story/CH01HellsKitchen/CH01SubwayMetaGame.prototype
57	10672397107906941966	Metagame/Raids/Thanos/ThanosRaidMetaGame.prototype
58	10799526694757671421	Metagame/CosmicGate/CosmicGateWhitelistVariant/HeroicGateWhitelistVariant.prototype
59	10916669574609506860	Metagame/FactionPvP/FactionPvPTier2.prototype
60	11011943441703964933	Entity/MetaGame/MetaGameInstance.prototype
61	11068099654406640132	Metagame/TrainingRoom/TrainingRoom.prototype
62	11348442818608893384	Metagame/HoloSim/HoloSim.prototype
63	11400769118306636733	Metagame/Story/CH09Asgard/CH09SiegeEvents.prototype
64	11437904216974104567	Metagame/DefenderPvP/Deprecated/DefenderPvP1v2Tier3.prototype
65	11585828630200852753	Metagame/DangerRoom/UniqueScenarioMetaGames/Tutorial/DangerRoomTutorial.prototype
66	11769161770260502987	Metagame/ZZZDeprecated/Raids/Axis/AxisRaidMetaGameTEST.prototype
67	12008926878514090746	Metagame/PatrolMidtown/PatrolMidtown.prototype
68	12018695841734855672	Metagame/Limbo/Limbo.prototype
69	12202834769813969854	Metagame/PvEWaveBase/PvEScaleBattle/PvEScaleBattleLimboT3L10.prototype
70	12225891620830321110	Metagame/Story/CH01HellsKitchen/CH01HellsKitchenMetaGame.prototype
71	12257557557539508960	Metagame/DefenderPvP/DefenderPvPTier4.prototype
72	12412498697203488920	Metagame/Story/CH01HellsKitchen/CH01NightclubMetaGame.prototype
73	12547252261580051654	Metagame/XMansionDefense/XMansionDefense60.prototype
74	12621649718821393504	Metagame/XMansionDefense/XMansionDefense.prototype
75	12826496750347032859	Metagame/Story/CH04EastSide/ToBeDeprecated/CH04MetaGame.prototype
76	13063312510086027354	Metagame/Story/CH04EastSide/CH0410FiskTowerPopManager.prototype
77	13461340598092370768	Metagame/Story/CH07SavageLand/CH07Events.prototype
78	13474935911214881292	Metagame/Story/CH02BrooklynDocks/CH0201ShippingPopManager.prototype
79	13710321349963747887	Metagame/FactionPvP/FactionPvPTier5.prototype
80	13734522920494505935	Metagame/StaticScenarios/CivilWarBazaar/StaticScenarioCivilWarBazaar.prototype
81	13827825966059166826	Metagame/Story/CH10SecretInvasion/TreasureRooms/CH10GameCenter.prototype
82	13845562014619537979	Metagame/CosmicGate/SuperHeroicGate.prototype
83	13919423531852238748	Entity/MetaGame/MatchMetaGame.defaults
84	14174685617492597824	Metagame/Story/CH10SecretInvasion/NYCRooftops/CH10NYCRooftops.prototype
85	14327956516103591925	Metagame/DefenderPvP/Deprecated/DefenderPvP1v2Tier1.prototype
86	14727137990799659557	Metagame/NexusPvP/NexusPvPMetaGame.prototype
87	14809192946318777139	Metagame/Story/CH10SecretInvasion/TreasureRooms/CH10CarPark.prototype
