Index	PrototypeId	Name
0	0	
1	1895489413770254841	Metagame/CosmicGate/States/SuperHeroicGateDeathLimiter.prototype
2	2788998501697660660	Metagame/DangerRoom/UniqueScenarioMetaGames/Cable/DangerRoomDeathLimitStateUniqueCable.prototype
3	4724362874769971446	Metagame/MetaState/MetaStateLimitPlayerDeathsPerMis.defaults
4	4764814980566489125	Metagame/Raids/Axis/States/AxisRaidDeathLimitState.prototype
5	4778619909113977301	Metagame/Raids/Thanos/States/ThanosRaidDeathLimitState.prototype
6	5812984938344683470	Metagame/CosmicGate/States/CosmicGateDeathLimiter.prototype
7	5937280813765105254	Metagame/MetaState/MetaStateLimitPlayerDeaths.defaults
8	6313966423588345460	Metagame/DangerRoom/DangerRoomDeathLimitState.prototype
9	6670763008237836421	Metagame/Raids/Surtur/States/SurturDeathLimitState.prototype
10	7536342299296013858	Metagame/Raids/Surtur/ChuckDebug/SurturDebugDeathLimitPerMisCrap.prototype
11	11086268926039890957	Metagame/Raids/Surtur/ChuckDebug/SurturDebugDeathLimitState.prototype
12	11272449483083553745	Metagame/XMansionDefense/States/XMansionPlayerDeathLimiter.prototype
13	16879251167580854218	Metagame/CosmicGate/States/HeroicGateDeathLimiter.prototype
14	17858437880906194589	Metagame/Raids/Surtur/ChuckDebug/SurturDebugDeathLimitPerMisState.prototype
15	17953045454750816275	Metagame/HoloSim/States/HoloSimPlayerDeathLimiter.prototype
