Index	PrototypeId	Name
0	0	
1	20029572866973995	Metagame/Story/CH01HellsKitchen/Populations/Select/SelectGangHBCombatProx.prototype
2	30261875199255262	Metagame/Story/CH01HellsKitchen/Populations/Select/SelectGangShockerTalkAngry.prototype
3	31735755371323672	Metagame/Story/CH02BrooklynDocks/Populations/Select/AIM/SelectorAIMListen.prototype
4	42859906633902763	Metagame/Story/CH10SecretInvasion/Hightown/Populations/Select/SelectSewerGhostbusterRayTalkProx.prototype
5	60471264686382769	Metagame/DangerRoom/Populations/Select/SelectMutateLookAroundProx.prototype
6	62266465375887537	Metagame/Story/CH01HellsKitchen/Populations/Select/SelectGangBikerCrates.prototype
7	101573422049204643	Metagame/DangerRoom/Populations/Select/SelectAIMTalkT2.prototype
8	106734823532993429	Metagame/OneShots/RedSkull/Select/SelectRedHYDRARifleSpawn.prototype
9	123237114741073228	Metagame/AgeOfUltron/Populations/Select/AgeOfUltronSelectCivilianTourGroupLeader01.prototype
10	148104300216592323	Metagame/Story/CH10SecretInvasion/Lowtown/Populations/Select/SelectLowtownSerpentMenTalk.prototype
11	184106787443317805	Populations/Clusters/Generic/Select/SelectCivCasualTalkProx.prototype
12	197938438209215702	Metagame/Hubs/GenoshaHub/Select/SelectMutantDuoWoundedRespond.prototype
13	229247441764691608	Metagame/Story/CH10SecretInvasion/NYCRooftops/Populations/Select/NYCRooftopsSelectGangmemberSkrullBoxing1.prototype
14	315188581374632207	Metagame/Story/CH05MutantTown/Populations/Select/SelectCivMorlockTalking.prototype
15	329532346398092817	Metagame/Story/CH10SecretInvasion/HelicarrierInvasion/Populations/Select/Redacted/HeliInvSelectSHIELDTalk.prototype
16	345365289608290915	Metagame/Story/CH05MutantTown/Populations/Select/SelectCivMorlockLookAround.prototype
17	352553274583293887	Metagame/AgeOfUltron/Populations/Select/AgeOfUltronSelectCivCheering.prototype
18	414354009039841244	Metagame/StaticScenarios/CivilWarBazaar/Select/SelectMadripoorBazaarCivilianCowerAmbient.prototype
19	415041821519127681	Metagame/Story/CH02BrooklynDocks/Populations/Select/GangHood/SelectorHoodTalkProx.prototype
20	435841447290608545	Populations/Clusters/Generic/Select/SelectMaggiaLookAround.prototype
21	444297090462525436	Metagame/Hubs/FurysToolshed/Populations/Select/SelectFurysToolshedSWORDTransportOfficer.prototype
22	514280502849313501	Populations/Clusters/Generic/Select/SelectDinoRaptorIdle.prototype
23	545967628401190643	Metagame/Story/CH02BrooklynDocks/Populations/Select/ToBeDeprecated/SelectJerseySymbiote.prototype
24	565269322973457290	Missions/Prototypes/Story/CH04EastSide/Events/LavamanInvasion/CH04SelectLavaGuardianEliteCombatIdle.prototype
25	572346583746747069	Populations/Clusters/Generic/Select/SelectMaggiaArrested.prototype
26	581169900665444630	Metagame/OneShots/RedSkull/Select/SelectHYDRATalkInt.prototype
27	640612352155851256	Populations/Clusters/Generic/Select/SelectAIMRobotIdle.prototype
28	657075873854793068	Metagame/PatrolMidtown/Populations/Select/Events/MidtownSelectEventMisterSinister.prototype
29	660619955837739511	Metagame/PatrolBrooklyn/Populations/Select/SelectPoliceThrPatrolCloneSaga.prototype
30	686946081713299827	Metagame/PatrolSavage/Populations/Select/PatrolSavageSelectVendorCrafter.prototype
31	721223935660730736	Metagame/PatrolBrooklyn/Populations/Select/SideBosses/SelectAmbientBossesCrossbonesBrooklyn.prototype
32	731100901974353145	Metagame/Story/CH01HellsKitchen/Populations/Select/SelectGangBikerEliteMuggingProx.prototype
33	734860194049957867	Metagame/PatrolBrooklyn/Populations/Select/SelectSavageExT1MaggiaIdle.prototype
34	738292156565758799	Metagame/Story/CH01HellsKitchen/Populations/Select/SelectGangElectroCombatProx.prototype
35	770757435839223879	Populations/Clusters/Generic/Select/SelectAIMGuard.prototype
36	796951935126741045	Metagame/Story/CH05MutantTown/Populations/Select/SelectCivMorlockRiled.prototype
37	830984334608967522	Metagame/Story/CH10SecretInvasion/Hightown/Populations/Select/SelectMadriPoliceArresting.prototype
38	847559689105453010	Metagame/Story/CH10SecretInvasion/TreasureRooms/Populations/Select/SelectGameCenterMadripoorCivilianCowering.prototype
39	851311806300167161	Populations/Clusters/Generic/Select/SelectMGHCookCombatIdle.prototype
40	851534870077121202	Metagame/Story/CH00Prologue/CH00Raft/Populations/Select/SelectRaftHYDRADuoTalk.prototype
41	884258282805799223	Metagame/Story/CH10SecretInvasion/Hightown/Populations/Select/SelectSWORDSafeZonePlacateProx.prototype
42	892340552105009332	Metagame/AgeOfUltron/Populations/Select/AgeOfUltronSelectCivDistressed.prototype
43	897221640987552711	Metagame/Story/CH10SecretInvasion/TreasureRooms/Populations/Select/SelectCarParkSkrullsCheerListen.prototype
44	905792591504023667	Metagame/Story/CH03Madripoor/Populations/Select/SelectMadriHandTalkProx.prototype
45	915206051437290245	Metagame/Story/CH06FortStryker/Populations/Select/SelectCH06RecruitsAttention2.prototype
46	945492789462573678	Metagame/Story/CH01HellsKitchen/Populations/Select/SelectGangBikerCombatProx.prototype
47	953420089123808046	Metagame/AgeOfUltron/Populations/Select/AgeOfUltronSelectPoliceWeaponsDrawn01.prototype
48	958582937852125593	Metagame/Story/CH05MutantTown/Populations/Select/OMSelectMutantCivWounded.prototype
49	972507725981034524	Metagame/Story/CH02BrooklynDocks/Populations/Select/MaggiaTracksuit/SelectorMaggiaThreaten.prototype
50	988447928551088423	Metagame/Story/CH07SavageLand/Populations/Select/SelectCH07MutateCrouching.prototype
51	995518773916149208	Metagame/Story/CH10SecretInvasion/Hightown/Populations/Select/SelectSkrullMeleeSpawn.prototype
52	998066340967949492	Metagame/Story/CH02BrooklynDocks/Populations/Select/GangGeneric/SelectorGangCrates.prototype
53	998550347001045090	Metagame/PatrolMidtown/Populations/Select/MidtownSelectThugIntimidate.prototype
54	1007037358964681083	Missions/Prototypes/Story/CH04EastSide/Events/LavamanInvasion/CH04SelectLavaChampionCombatIdle.prototype
55	1061916326850730052	Populations/Clusters/Generic/Select/SelectAIMRiled.prototype
