Index	PrototypeId	Name
0	0	
1	223159418224646209	Metagame/Story/CH04EastSide/States/CH0410FiskTowerPop.prototype
2	225261666506841008	Metagame/Story/CH04EastSide/States/CH0402UpperEastCivTowerPop.prototype
3	316413750990215776	Metagame/PatrolBrooklyn/States/BrooklynAmbientPopThugs.prototype
4	327002179217791066	Metagame/OneShots/RedSkull/States/InteriorRedHYDRA.prototype
5	335599390515993847	Metagame/DangerRoom/PopulationStates/Tier2/DRPopBroodHybridsT2.prototype
6	365538558101625761	Metagame/DangerRoom/PopulationStates/Tier2/DRPopHYDRAMechT2.prototype
7	369219822706562083	Metagame/Limbo/States/LimboPopMaintained.prototype
8	387975496382750325	Metagame/Story/CH00Prologue/CH00TutorialCity/States/TutorialAmbient.prototype
9	400705152659759651	Metagame/DangerRoom/Populations/DangerRoomAdditionalMission01BonusChestPop.prototype
10	521454333584547958	Metagame/Story/CH10SecretInvasion/TreasureRooms/States/GameCenterCombat.prototype
11	714436682102808322	Metagame/PatrolMidtown/States/MidtownAmbientPopBossesMysticMayhem.prototype
12	747711214362304702	Metagame/Story/CH02BrooklynDocks/States/ToBeDeprecated/CH02StorageYardPop.prototype
13	747723301463661293	Metagame/DangerRoom/PopulationStates/Tier1/DRPopMutatesT1.prototype
14	836481920182590507	Metagame/DangerRoom/PopulationStates/Tier1/DRPopSerpentMenT1.prototype
15	947103833479716263	Metagame/DangerRoom/Populations/DangerRoomBonusChestSpawnerPop.prototype
16	955746872183757554	Metagame/PatrolBrooklyn/States/BrooklynEventPopCultists.prototype
17	1021714095851969268	Metagame/AgeOfUltron/States/AgeOfUltronPopCivilianPhase05.prototype
18	1069388905403521329	Metagame/Story/CH06FortStryker/States/CH06TrainingCamp.prototype
19	1077108970259881046	Metagame/PatrolMidtown/States/MidtownAmbientPopCivilianPark.prototype
20	1242094711086651716	Metagame/PatrolSavage/States/SavageAmbientPopVendors.prototype
21	1281569735127344150	Metagame/Story/CH10SecretInvasion/HelicarrierInvasion/States/AmbientSHIELDAgents.prototype
22	1351337306900274203	Metagame/Story/CH04EastSide/States/ArchivedStates/CH04LowerAIM.prototype
23	1409564417441142559	Metagame/OneShots/RedSkull/States/InteriorHYDRA.prototype
24	1416898510509316560	Metagame/PatrolBrooklyn/States/BrooklynAmbientPopHand.prototype
25	1668795725550852279	Metagame/PatrolBrooklyn/States/BrooklynEventPopPMC.prototype
26	1722429041754970717	Metagame/DangerRoom/PopulationStates/Tier1/DRPopAIMMGHT1.prototype
27	1804931851368078324	Metagame/AgeOfUltron/States/AgeOfUltronPopIronLegionBosses.prototype
28	1867675838151859767	Metagame/Story/CH04EastSide/States/ArchivedStates/CH04LowerRedlight.prototype
29	2269222182043394276	Metagame/Story/CH10SecretInvasion/Hightown/States/HightownAmbientPopHand.prototype
30	2365140039268179583	Metagame/Story/CH02BrooklynDocks/States/ToBeDeprecated/CH02MaggiaPop.prototype
31	2464608050580429763	Metagame/DangerRoom/PopulationStates/Tier1/DRPopPurifiersT1.prototype
32	2805413454937857557	Metagame/Story/CH00Prologue/CH00TutorialCity/States/TutorialAmbush.prototype
33	2865614872792276301	Metagame/Story/CH04EastSide/States/ArchivedStates/CH04UpperMaggia.prototype
34	2966838616975414075	Metagame/Generic/States/AmbientPopHand.prototype
35	3100995624536382745	Metagame/Story/CH06FortStryker/Missions/Redacted/CH06TrainingDay.prototype
36	3130472194022514601	Metagame/Story/CH10SecretInvasion/TreasureRooms/States/CarParkAmbient.prototype
