Index	PrototypeId	Name
0	0	
1	774411134809086085	Metagame/Story/CH05MutantTown/Zones/CH05ZoneProjects.prototype
2	3123152759783560513	Metagame/Story/CH09Asgard/Zones/CH09ZoneSiege.prototype
3	3289012465053604229	Metagame/Story/CH04EastSide/Zones/CH04ZoneLowerEastSide.prototype
4	4373004744737233438	Metagame/Story/CH03Madripoor/Zones/CH03ZoneBuccaneerBeach.prototype
5	4642075970830607369	Metagame/PatrolSavage/Activates/PatrolSavageActivateCliffwalkersBeetlesWrapper.prototype
6	5133828962522503023	Metagame/Story/CH03Madripoor/Zones/OLDCH03ZoneCove.prototype
7	5723565284788541850	Metagame/Story/CH02BrooklynDocks/Zones/CH02ZoneShipping.prototype
8	6364562794714175711	Metagame/Story/CH06FortStryker/Zones/CH06ZoneArmyBase.prototype
9	6830813137722677934	Metagame/Story/CH01HellsKitchen/Zones/Ch01ZoneHellsKitchen.prototype
10	7819694170212210638	Metagame/Story/CH09Asgard/Zones/CH09ZoneNorwayAreaA.prototype
11	7894265892545763378	Metagame/Story/CH03Madripoor/Zones/OLDCH03ZoneBamboo.prototype
12	8762018287954107258	Metagame/Story/CH06FortStryker/Zones/CH06ZoneTrainingForest.prototype
13	8935243026223469641	Metagame/MetaState/MetaStateWaveInstance.defaults
14	9221584687863964099	Metagame/PatrolSavage/Activates/PatrolSavageActivateMutatesSauronWrapper.prototype
15	9440522172096386973	Metagame/Story/CH03Madripoor/Zones/CH03ZoneLowTown.prototype
16	11003825531352193283	Metagame/Story/CH07SavageLand/Zones/CH07ZoneDinoJungle.prototype
17	12047752830151563420	Metagame/Story/CH03Madripoor/Zones/CH03ZoneHiddenCove.prototype
18	12208755823826705251	Metagame/Story/CH02BrooklynDocks/Zones/CH02ZoneConstruction.prototype
19	12364088030031255944	Metagame/Story/CH04EastSide/Zones/CH04ZoneUpperEastSide.prototype
20	12910000397938465151	Metagame/Story/CH07SavageLand/Zones/CH07ZoneMutateMarsh.prototype
21	13332038497218206379	Metagame/Story/CH07SavageLand/Zones/CH07ZoneInfestedJungle.prototype
22	13900849111833453484	Metagame/PatrolSavage/Activates/PatrolSavageActivateCliffwalkersKravenWrapper.prototype
23	13902891653040118150	Metagame/Story/CH03Madripoor/Zones/CH03ZoneBambooForest.prototype
24	14517303103823943604	Metagame/Story/CH05MutantTown/Zones/CH05ZoneSewers.prototype
25	14856225016020342640	Metagame/Story/CH08Latveria/Zones/CH08ZoneLatveria.prototype
26	15923052711867783093	Metagame/Story/CH03Madripoor/Zones/OLDCH03ZoneBeach.prototype
27	16017826858405009990	Metagame/Story/CH06FortStryker/Zones/CH06ZoneQuietForest.prototype
28	16594405085236044729	Metagame/PatrolSavage/Activates/PatrolSavageActivateAIMExcavatorsMODOKWrapper.prototype
29	17397349468794197839	Metagame/Story/CH05MutantTown/Zones/CH05ZoneSlums.prototype
30	17683177691798050767	Metagame/Story/CH09Asgard/Zones/CH09ZoneNorwayAreaB.prototype
31	17739315463450207382	Metagame/PatrolSavage/Activates/PatrolSavageActivateAIMExcavatorsNoMODOKWrapper.prototype
32	17809273598929475804	Metagame/Story/CH03Madripoor/Zones/OLDCH03ZoneLowTown.prototype
