Index	PrototypeId	Name
0	0	
1	2546128756740848	Mods/Omega/Bonuses/Mutation/Mutation42.prototype
2	18317711075120708	Mods/Omega/Bonuses/Interstellar/Interstellar37.prototype
3	55669638461463528	Mods/MobAffixes/Boss/EventSpecific/ChestDropOmegaEventAffix.prototype
4	63647727190807982	Mods/MobAffixes/Boss/Cosmics/CosmicOrbsAffix.prototype
5	72931365583131355	Mods/Omega/Bonuses/Psionics/Psionics03.prototype
6	87204426660909780	Mods/Omega/Bonuses/Temporal/Temporal13.prototype
7	92353074574267116	Mods/Omega/Bonuses/Mutation/Mutation11.prototype
8	102790431616274496	Mods/Omega/Bonuses/Human/Human06.prototype
9	114425012673385915	Mods/Infinity/Bonuses/Space/Space01Durability.prototype
10	118541515156953537	Mods/Infinity/Bonuses/Mind/Mind02DamageProcIntelligence.prototype
11	145559739303006943	Mods/Omega/Bonuses/Psionics/Psionics43.prototype
12	145867476575327808	Mods/Omega/Bonuses/Interstellar/Interstellar24.prototype
13	174255161256710212	Mods/Omega/Bonuses/Human/Human46.prototype
14	183140643479884748	Mods/MobAffixes/Boss/MissileLaunchAffix.prototype
15	245306779164218785	Mods/MobAffixes/Boss/Cosmics/CosmicAuraAffix.prototype
16	275322822330684312	Mods/Omega/Bonuses/Dimension/Dimension22.prototype
17	346573763625686588	Mods/Omega/Bonuses/Interstellar/Interstellar11.prototype
18	378255034156848322	Mods/MobAffixes/Boss/ShieldTotemTextAffix.prototype
19	501680302079676941	Mods/Omega/Bonuses/Weapons/Weapons29.prototype
20	530422525135557528	Mods/Omega/Bonuses/Dimension/Dimension04.prototype
21	540823466452390640	Mods/Omega/Bonuses/Mutation/Mutation24.prototype
22	561308814340264387	Mods/MobAffixes/Boss/CaltropsAffix.prototype
23	561371066716787425	Mods/Omega/Bonuses/Psionics/Psionics36.prototype
24	575529761403835096	Mods/Omega/Bonuses/Temporal/Temporal26.prototype
25	577711316496814739	Mods/Omega/Sets/NeuralEnhancementSet.prototype
26	581824238473253783	Mods/Omega/Bonuses/Molecular/Molecular25.prototype
27	603439635915608971	Mods/MobAffixes/Normal/SuperCritImmune.prototype
28	606133953225758295	Mods/Omega/Bonuses/Supernatural/Supernatural12.prototype
29	648546994781163409	Mods/Omega/Bonuses/Test/Test36.prototype
30	731201511829672451	Mods/Omega/Bonuses/Weapons/Weapons10.prototype
31	812671447645097871	Mods/Omega/Bonuses/Test/Test25.prototype
32	820973410721665545	Mods/Omega/Bonuses/Weapons/Weapons43.prototype
33	916635503277641576	Mods/Omega/Bonuses/Nano/Nano44.prototype
34	923061740764073871	Mods/Omega/Bonuses/Test/Test43.prototype
35	931331792233370121	Mods/Omega/Bonuses/Weapons/Weapons25.prototype
36	956701280556684188	Mods/Omega/Bonuses/Dimension/Dimension08.prototype
37	976804834038124425	Mods/Omega/Bonuses/Test/Test10.prototype
38	980648737703662324	Mods/Omega/Bonuses/Mutation/Mutation28.prototype
39	1001099176998933260	Mods/Omega/Sets/RadioactiveOriginsSet.prototype
40	1027060142017745824	Mods/Omega/Bonuses/Dimension/Dimension48.prototype
41	1041957097742732359	Mods/Ranks/GroupBoss.prototype
42	1053865593550542429	Mods/Omega/Bonuses/Supernatural/Supernatural27.prototype
43	1123609262454149859	Mods/Omega/Bonuses/Psionics/Psionics29.prototype
44	1146304455196285307	Mods/MobAffixes/Boss/Cosmics/CosmicBossChestDropAffix.prototype
45	1153197308027539726	Mods/Omega/Bonuses/Cosmic/Cosmic19.prototype
46	1185887605434945758	Mods/Omega/Bonuses/Arcane/Arcane11.prototype
47	1246321236136564453	Mods/Infinity/Bonuses/Space/Space05DefenseRating.prototype
48	1249349765964567859	Mods/Raids/Ultron/MissionCriticalIndicator.prototype
49	1350470646921434130	Mods/Omega/Bonuses/Neural/TemplateNeural.prototype
50	1359247824805959858	Mods/Raids/SurturRaid/Enc1ArcherStackDamageTextOnly.prototype
51	1361889521250736154	Mods/Omega/Bonuses/Radioactive/TemplateRadioactive.prototype
52	1408831645877082196	Mods/Infinity/Bonuses/Soul/Soul02DamageProcFighting.prototype
53	1414611665047982369	Mods/Omega/Bonuses/Neural/Neural38.prototype
54	1451971711111664843	Mods/Omega/Sets/ExtraDimensionalTravelSet.prototype
55	1502547538889152324	Mods/Raids/SurturRaid/WingedDemonVulnerableAura.prototype
56	1638290795786801378	Mods/Omega/Bonuses/Arcane/Arcane24.prototype
57	1755632540770504970	Mods/Omega/Bonuses/Cosmic/Cosmic06.prototype
58	1911331224753411532	Mods/Omega/Bonuses/Temporal/TemplateTemporal.prototype
59	1977410646083635694	Mods/Ranks/Rank.defaults
60	2012435310263146174	Mods/Infinity/Bonuses/Space/Space04DeflectChance.prototype
61	2016501548614947103	Mods/Omega/Bonuses/Neural/Neural27.prototype
62	2032501627476449678	Mods/Raids/Onslaught/StarktechSentinelEnc1AVulnToArea.prototype
63	2059885646079596561	Mods/Infinity/Bonuses/Power/Power05WeakenedExploit.prototype
64	2064603610298585318	Mods/Omega/Bonuses/Arcane/Arcane28.prototype
65	2104715718694342937	Mods/Omega/Bonuses/Neural/Neural12.prototype
66	2107523786919449481	Mods/Omega/Sets/MolecularAdjustmentSet.prototype
67	2287613901210392896	Mods/Raids/SurturRaid/Enc4GiantAffixTextOnlyDetonate.prototype
68	2318992669196817139	Mods/Omega/Bonuses/Mutation/Mutation09.prototype
69	2370551713442108709	Mods/Omega/Bonuses/Radioactive/Radioactive34.prototype
70	2381763708696140330	Mods/Infinity/Bonuses/Reality/Reality03UltimateCooldown.prototype
71	2388216821749125860	Mods/Omega/Bonuses/Psionics/Psionics48.prototype
72	2389189894452286356	Mods/Omega/Bonuses/Molecular/Molecular22.prototype
73	2403092663662678534	Mods/Omega/Bonuses/Weapons/Weapons04.prototype
74	2414554579406359881	Mods/Omega/Sets/SoulSet.prototype
75	2431992176102804524	Mods/Skills/Brawling.prototype
76	2459702021197402848	Mods/Omega/Bonuses/Psionics/Psionics08.prototype
77	2495784017672934695	Mods/Omega/Bonuses/Radioactive/Radioactive27.prototype
78	2531671979509619430	Mods/Infinity/Bonuses/Mind/Mind05VulnerableExploitCONSOLE.prototype
79	2533429773425054455	Mods/Omega/Bonuses/Mutation/Mutation49.prototype
80	2553314364497662868	Mods/Omega/Bonuses/Molecular/Molecular31.prototype
81	2631212549311500572	Mods/MobAffixes/Boss/IceCageAffix.prototype
82	2645120760607608720	Mods/Omega/Bonuses/Test/Test17.prototype
83	2648298734743589981	Mods/Raids/SurturRaid/ResistDamageEnergy.prototype
84	2648837517881642849	Mods/Omega/Bonuses/Nano/Nano10.prototype
85	2649127255568551564	Mods/MobAffixes/EnemyBoost.defaults
86	2701947893727566226	Mods/Infinity/Bonuses/Reality/Reality04SignatureDamage.prototype
87	2726882122030125574	Mods/Omega/Bonuses/Weapons/Weapons22.prototype
88	2728102484717737562	Mods/Omega/Bonuses/Supernatural/Supernatural33.prototype
89	2734892513466388368	Mods/Omega/Bonuses/Test/Test44.prototype
90	2736551492217215525	Mods/Infinity/Bonuses/Reality/Reality01EnergyProjection.prototype
91	2806430034206265228	Mods/Omega/Bonuses/Test/Test04.prototype
92	2814326555099077071	Mods/Infinity/Bonuses/Space/Space02DamageProcDurability.prototype
93	2851058637398938118	Mods/Omega/Bonuses/Weapons/Weapons31.prototype
94	2853875542506673750	Mods/Omega/Bonuses/Supernatural/Supernatural20.prototype
95	2859271783660194959	Mods/Skills/Weakening.prototype
96	2886484610626228949	Mods/Omega/Bonuses/Temporal/Temporal14.prototype
97	2894807625618492480	Mods/Ranks/PvPTarget.prototype
98	2898083075329888988	Mods/Omega/Bonuses/Psionics/Psionics04.prototype
99	2901771386442879502	Mods/Omega/Bonuses/Weapons/Weapons48.prototype
100	2913179804830931242	Mods/MobAffixes/Boss/Cosmics/CosmicTurretMasterAffix.prototype
101	2914690025966867185	Mods/Omega/Bonuses/Mutation/Mutation16.prototype
102	2968468312209101555	Mods/Omega/Bonuses/Mutation/Mutation45.prototype
103	3041096660152881903	Mods/Omega/Bonuses/Mutation/Mutation05.prototype
104	3047230625038144215	Mods/Omega/Bonuses/Temporal/Temporal07.prototype
105	3048000484526787506	Mods/Ranks/Champion.prototype
106	3062207356399588064	Mods/Omega/Bonuses/Psionics/Psionics17.prototype
107	3092056662466696091	Mods/Omega/Bonuses/Dimension/Dimension25.prototype
108	3115985496611492576	Mods/Omega/Bonuses/Psionics/Psionics44.prototype
109	3117356037206839818	Mods/Omega/Bonuses/Weapons/Weapons08.prototype
110	3119003165024851550	Mods/Omega/Bonuses/Supernatural/Supernatural19.prototype
111	3143218511977517171	Mods/Raids/Ultron/UltronTurret.prototype
112	3221555404772283971	Mods/Omega/Bonuses/Interstellar/Interstellar45.prototype
113	3221863668884837084	Mods/Omega/Bonuses/Psionics/Psionics22.prototype
114	3241848456678413037	Mods/Omega/Bonuses/Mutation/Mutation30.prototype
115	3311362350591252033	Mods/Omega/Bonuses/Interstellar/Interstellar16.prototype
116	3343753376780718999	Mods/Omega/Bonuses/Dimension/Dimension03.prototype
117	3359479074918109249	Mods/Omega/Bonuses/Human/Human34.prototype
118	3370844024103310035	Mods/Omega/Bonuses/Temporal/Temporal21.prototype
119	3382609597396095708	Mods/Omega/Bonuses/Psionics/Psionics31.prototype
120	3398368919570028651	Mods/Infinity/Bonuses/Soul/Soul03HealthRegeneration.prototype
121	3419366222163022049	Mods/MobAffixes/Normal/Contagion.prototype
