Index	PrototypeId	Name
0	0	
1	52208138817707667	Populations/Clusters/HYDRA/Deprecated/EG13HydraPlasmaCasterCluster.prototype
2	56378861461970611	Populations/Clusters/Purifiers/Deprecated/EGD06CyborgSawArmCluster.prototype
3	78202455318732042	Populations/Clusters/Purifiers/PurifierPopcornFanaticCluster.prototype
4	198490277312533606	Populations/Clusters/Debug/DebugPunkLine.prototype
5	238441339531959121	Populations/Clusters/MGHMutants/MGHPopcornLeecherCluster.prototype
6	296749930182417902	Populations/Clusters/SurturRaid/DrStrangeEventFireGiantCluster.prototype
7	354110092067347391	Populations/Clusters/LizardAnimals/LizardRhinoBZooCluster.prototype
8	377045123217235877	Populations/Clusters/Purifiers/PurifierChampionPsiOpsReaverCluster.prototype
9	395237994269712050	Populations/Clusters/Purifiers/Deprecated/EGD06CyborgGunArmCluster.prototype
10	507660874769702376	Populations/Clusters/LizardAnimals/LizardRhinoSpawnBZooCluster.prototype
11	549194440494160151	Populations/Clusters/Moloids/EG03MoloidLeaperCluster.prototype
12	576159459288684492	Metagame/OneShots/RedSkull/Objects/RedHYDRALineSm.prototype
13	619458428947865521	Populations/Clusters/Purifiers/PurifierChampionMutantHunterCluster.prototype
14	646640199393221700	Populations/Clusters/Beetles/BeetleChampionGasBeetleCluster.prototype
15	664384327343939225	Populations/Clusters/HYDRA/Deprecated/EGD08HydraExolauncherCluster.prototype
16	682743352147647908	Populations/Clusters/Dinosaur/DinosaurPopcornPterosaurCluster.prototype
17	731639474007972658	Populations/Clusters/HYDRA/Deprecated/EG13HydraMaleCluster.prototype
18	822391128160344999	Populations/Clusters/Doombots/EGD09ServoGuardRangedCluster.prototype
19	840159853592321613	Populations/Clusters/Purifiers/Deprecated/EG04CyborgSawArmCluster.prototype
20	892540401115600006	Populations/Clusters/Doop/CH03DoopCluster.prototype
21	1016897027676642892	Populations/Clusters/Purifiers/Deprecated/EG04CyborgGunArmCluster.prototype
22	1035255370534819219	Populations/Clusters/Debug/DebugMagnetoLine.prototype
23	1118917177904404415	Populations/Clusters/Doop/EGCosmicDoopMixedMelee.prototype
24	1133125205170855027	Populations/Clusters/HYDRA/HYDRAChampionPlasmaCasterCluster.prototype
25	1261339606148455901	Populations/Clusters/Purifiers/Deprecated/EG10PurifierAxeCluster.prototype
26	1262897205033245072	Populations/Clusters/Hand/HandPopcornAssassinCluster.prototype
27	1266639667485152453	Populations/Clusters/ManhattanOrbCluster.prototype
28	1349629040664123915	Populations/Clusters/Cyborg/CyborgEliteTankGunCluster.prototype
29	1388799130414882331	Populations/Clusters/Brood/Deprecated/EG08BroodShieldAgentCluster.prototype
30	1424660775671568887	Populations/Clusters/PvEWaveGame/PvEWaveGameEG02Phase3C.prototype
31	1430219192905440777	Populations/Clusters/SerpentMen/SerpentManPopcornHunterCluster.prototype
32	1485491634798992052	Populations/Clusters/DarkElves/CH09DarkElfSoldierCluster.prototype
33	1533659573500451757	Populations/Clusters/Beetles/BeetlePopcornExploderCluster.prototype
34	1649072568406579920	Populations/Clusters/Hand/CHAPTER/CH10HandAssassinCluster.prototype
35	1661358780587909345	Populations/Clusters/Cliffwalker/Chapter/CH07HypnoSunTribeDarterCluster.prototype
36	1665661401854318067	Populations/Clusters/Street/HoodPunkCluster.prototype
37	1666230198761430842	Populations/Clusters/HYDRA/Deprecated/NEUTRALPvPExoLauncherCluster.prototype
38	1666774127167544316	Populations/Clusters/Hand/Deprecated/EG11HandAssassinCluster.prototype
39	1702828005183724215	Populations/Clusters/Doombots/CH08DoombotBlockadeCluster.prototype
40	1742033534770420024	Populations/Clusters/Lavamen/Archived/LavaGaurdianCH4.prototype
41	1829510998010830314	Populations/Clusters/SerpentMen/SerpentManEliteSorcererCluster.prototype
42	1839535999831776294	Populations/Clusters/Hand/CHAPTER/CH10HandSwordmasterCluster.prototype
43	1938921985720654034	Populations/Clusters/AIM/AIMPopcornSwarmbotCluster.prototype
44	1943412650157218291	Populations/Clusters/DarkElves/DarkElfAssassinCluster.prototype
45	1946748615199495384	Populations/Clusters/NGarai/NGaraiCluster.prototype
46	1966546932538545285	Populations/Clusters/Doop/CH02DoopCluster.prototype
47	2004107044587576719	Populations/Clusters/SurturRaid/SurturRaidFireDemonCatCluster.prototype
48	2063490228142218495	Populations/Clusters/LizardAnimals/LizardBatSpawnBZooCluster.prototype
49	2088324946965373479	Populations/Clusters/Purifiers/Deprecated/EDMilitaryImmolatorEliteCluster.prototype
50	2223370190715624318	Populations/Clusters/SurturRaid/SurturRaidLavamanCluster.prototype
51	2262862953193149387	Populations/Clusters/NYCStreet/Hoodlum.prototype
52	2264628660781063970	Populations/Clusters/Purifiers/Deprecated/EGD05PurifierSpearCluster.prototype
53	2273179773947288738	Populations/Clusters/SurturRaid/SurturRaidGiantLavaChampion.prototype
54	2331372209037646125	Populations/Clusters/Doop/EGCosmicDoopOverlordPopOb.prototype
55	2409414863891011330	Populations/Clusters/Doop/CH01CosmicDoopCluster.prototype
56	2450625743614122402	Populations/Clusters/PMC/Deprecated/EG05PMCRiotCluster.prototype
57	2451097530092295940	Populations/Clusters/Doop/CH03CosmicDoopCluster.prototype
58	2464094910681322628	Populations/Clusters/Doop/CH01DoopCluster.prototype
59	2489333835805564400	Populations/Clusters/SurturRaid/SurturRaidFireDemonBruteShield.prototype
60	2510030913236311287	Populations/Clusters/Dinosaur/Deprecated/EG04KingLizardCluster.prototype
61	2572102027427518211	Populations/Clusters/Doop/CH02CosmicDoopCluster.prototype
62	2601018148664974267	Populations/Clusters/Doombots/EG12ServoGuardBrawlerCluster.prototype
63	2613796732730219350	Populations/Clusters/Brood/Chapter/CH03BroodPsychicCluster.prototype
64	2615907365037809323	Metagame/DangerRoom/Objects/LevelAffixes/DRAffixBarrelClusterFireC.prototype
65	2638726411219704831	Populations/Clusters/AxisRaid/AxisRaidRedHYDRAFlamethrower.prototype
66	2653737574638360328	Populations/Clusters/Doop/CH07CosmicDoopCluster.prototype
67	2655549090881806520	Populations/Clusters/Purifiers/PurifierChampionGrenadierReaverCluster.prototype
68	2672442660856600604	Populations/Clusters/NGarai/EG05NgaraiDemonCluster.prototype
69	2694847330851559175	Populations/Clusters/Doop/CH06CosmicDoopCluster.prototype
70	2709675640546662033	Metagame/OneShots/RedSkull/Objects/HYDRALineSm.prototype
71	2729400251414352025	Populations/Clusters/Sentinels.prototype
72	2730057423087148326	Populations/Clusters/SurturRaid/SurturRaidFireDemonBruteMaul.prototype
73	2737972718905400880	Populations/Clusters/HYDRA/Deprecated/EG03HydraExolauncherCluster.prototype
74	2742128555635316485	Populations/Clusters/Doop/CH04CosmicDoopCluster.prototype
75	2748784913994424220	Metagame/DangerRoom/Objects/LevelAffixes/DRAffixBarrelClusterPoisonB.prototype
76	2814223497730924901	Populations/Clusters/Cliffwalker/Chapter/CH07HypnoSunTribeWarriorCluster.prototype
77	2820637986248072182	Populations/Clusters/AIM/Deprecated/EGD07AIMKillDroidCluster.prototype
78	2862040284445087494	Populations/Clusters/Doop/CH05CosmicDoopCluster.prototype
79	2930083273611877198	Populations/Clusters/Mutates/MutateChampionShamanCluster.prototype
80	3091620135513037133	Populations/Clusters/AIM/CHAPTER/AIMEliteTRexCluster.prototype
81	3092630769120516851	Populations/Clusters/HYDRA/CHAPTER/CH00HYDRAGunnerCluster.prototype
82	3150778843269963091	Populations/Clusters/Beetles/BeetlePopcornExploderFireCluster.prototype
