Index	PrototypeId	Name
0	0	
1	1409115386291094	Metagame/Story/CH04EastSide/Populations/Clusters/UpperEast/CH04MaggiaHHTalkGroup.prototype
2	18226974773747094	Metagame/PatrolBrooklyn/Objects/BrooklynVenomificationPopObjP05.prototype
3	20020374804832938	Metagame/AgeOfUltron/Populations/Clusters/Civilian/AgeOfUltronCivBusTalkDuo.prototype
4	25502931792829748	Populations/Missions/OneShots/OneShotPopSpiSlayerBlasterBoss.prototype
5	25937307170840568	Populations/Missions/DangerRoom/Subway/DRSubwayWeaponsDealClusterT2C.prototype
6	26648748828076467	Metagame/Story/CH10SecretInvasion/TreasureRooms/Populations/Clusters/GameCenterStagePerformer.prototype
7	31196792812673672	Populations/Missions/Patrol/PatrolPopHydraJetpackSpawn.prototype
8	36437772352236319	Metagame/Story/CH05MutantTown/Populations/Clusters/MorlockUnderground/CH05PopMorlockCivSeatedTrio.prototype
9	44091320062056031	Populations/Missions/CH03OMHYDRAFrogmanGunner.prototype
10	46163671628387885	Populations/Missions/HoloSim/HoloSimFGShaman.prototype
11	47855818726846543	Populations/Missions/ThanosRaid/EncounterMobSpawners/MixedAmbushes/ThanosAmbushSpawnerPopEntitySkirmisherV1.prototype
12	50545200489700047	Populations/Clusters/Street/Deprecated/CH01AnarchistSquad.prototype
13	52208138817707667	Populations/Clusters/HYDRA/Deprecated/EG13HydraPlasmaCasterCluster.prototype
14	54383902821456188	Populations/Clusters/Generic/Clusters/CivParkReading.prototype
15	55480898264962438	Populations/Missions/CH09DarkElfRiftSpawner.prototype
16	56378861461970611	Populations/Clusters/Purifiers/Deprecated/EGD06CyborgSawArmCluster.prototype
17	60808182073073012	Metagame/PatrolBrooklyn/Populations/Clusters/WarGamesHostageMB.prototype
18	63405852440009426	Populations/Clusters/HYDRA/HYDRAMixedGunnerMeleeCluster.prototype
19	63667826812328298	Populations/Missions/CH05PurifierImmolatorEliteSpawn.prototype
20	64463072310140647	Metagame/Story/CH10SecretInvasion/Hightown/Objects/SkrullXmenPopObj.prototype
21	66604737579195533	Populations/Missions/CH10HelicarrierSkrullSHIELDAgentMalePop.prototype
22	78202455318732042	Populations/Clusters/Purifiers/PurifierPopcornFanaticCluster.prototype
23	80199601786136073	Metagame/PatrolSavage/Populations/Clusters/Event/PatrolSavageEventMutatesLaneCenter.prototype
