Index	PrototypeId	Name
0	0	
1	184542705206764935	Powers/Blueprints/PowerEvents/PowerEventCallbacks/PowerEventAIChangeBlackboardFact.defaults
2	1725432543907358173	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextOffsetActvtnAOE.defaults
3	1940940146600256860	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextCooldownChange.defaults
4	4259286212883716809	Powers/Blueprints/PowerEvents/PowerEventContextCallback.defaults
5	4555131491446302381	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextShowBannerMessage.defaults
6	4724947822038295940	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextTeleportRegion.defaults
7	5090480961920967454	Powers/Blueprints/PowerEvents/PowerEventCallbacks/AISummonsTryActivatePower.defaults
8	6263670668956411154	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextTransformMode.defaults
9	6462389421217293572	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextPetDonateItem.defaults
10	9756895119177357212	Powers/Blueprints/PowerEvents/PowerEventContext.defaults
11	11786501238885328389	Powers/Blueprints/PowerEvents/PowerEventCallbacks/PowerEventAISetAssistFromCreator.defaults
12	12875201863697572028	Powers/Blueprints/PowerEvents/PowerEventContexts/UnassignMappedPowers.defaults
13	16953999400465671023	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextMapPowers.defaults
14	18057948000027091799	Powers/Blueprints/PowerEvents/PowerEventContexts/PowerEventContextLootTable.defaults
