Index	PrototypeId	Name
0	0	
1	1226797083848679133	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet003VisionVanityAI.prototype
2	2391758815280373254	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet006StubVanityAI.prototype
3	3118730762849558417	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet021HeadpoolVanityAI.prototype
4	4551896831610200165	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet005DOOMHERBIEVanityAI.prototype
5	5333129336763064468	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet008UltronGoldVanityAI.prototype
6	6063553525230214467	AI/ProceduralAI/Blueprints/Profiles/ProceduralProfileVanityPet.defaults
7	6961011833907453719	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet001OldLaceVanityAI.prototype
8	8958094469536358736	AI/ProceduralAI/Prototypes/Profiles/VanityPets/VanitySquirrelPetProfile.prototype
9	10105918774693404674	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet009DragonmanVanityAI.prototype
10	10930538182155641218	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet007UltronSilverVanityAI.prototype
11	11959470510211473077	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet004HERBIEVanityAI.prototype
12	13591468170345127301	AI/ProceduralAI/Prototypes/Profiles/VanityPets/Pet002MkIVanityAI.prototype
13	16701334425205744445	AI/ProceduralAI/Prototypes/Profiles/SummonsAndPets/Insignia031HerbiePetProfile.prototype
