Index	PrototypeId	Name
0	0	
1	3240404112683504905	Metagame/DefenderPvP/Deprecated/Main1v2Tier3.prototype
2	3493332529132541193	Metagame/DefenderPvP/Deprecated/Main2v3Tier1.prototype
3	4702070343813370422	Metagame/DefenderPvP/Modes/MainTier2.prototype
4	7500312711634949387	Metagame/DefenderPvP/Deprecated/Main2v3Tier3.prototype
5	7528340256887018041	Metagame/DefenderPvP/Modes/MainTier5.prototype
6	8400483920673576199	Metagame/DefenderPvP/Deprecated/Main1v2Tier1.prototype
7	9281852657972023863	Metagame/DefenderPvP/Modes/MainTier3.prototype
8	11451276663089992898	Metagame/DefenderPvP/Modes/PvPDefenderMode.defaults
9	12220703871287039242	Metagame/DefenderPvP/Deprecated/Main2v3Tier2.prototype
10	12246648941516100152	Metagame/DefenderPvP/Modes/MainTier4.prototype
11	14425662636730423309	Metagame/DefenderPvP/ConnectionTargets/Tiered/Main.prototype
12	15610454949645390389	Metagame/DefenderPvP/Modes/MainTier1.prototype
13	17111116306396747016	Metagame/DefenderPvP/Deprecated/Main1v2Tier2.prototype
