Index	PrototypeId	Name
0	0	
1	1672036228432531497	Entity/Items/Rarity/R2Uncommon.prototype
2	3312071462101520554	Entity/Items/Rarity/R6Runewords.prototype
3	6033964048325414744	Entity/Items/Rarity/R6Unique.prototype
4	6222916864837881491	Entity/Items/Rarity/Rarity.defaults
5	8359589995259367461	Entity/Items/Rarity/R5Ultimate.prototype
6	8643734431032020798	Entity/Items/Rarity/R5Cosmic.prototype
7	9254498193264414304	Entity/Items/Rarity/R4Epic.prototype
8	10195041726035595077	Entity/Items/Rarity/R1Common.prototype
9	11419154057066188490	Entity/Items/Rarity/R6Omega.prototype
10	16482875891277041256	Entity/Items/Rarity/R3Rare.prototype
