Index	PrototypeId	Name
0	0	
1	1008077210406359794	Regions/Affixes/Categories/PlayerBuff.prototype
2	2135875871101686648	Regions/Affixes/Categories/MissionTier.prototype
3	3576474691964899798	Regions/Affixes/Categories/Utility.prototype
4	3962983153409069274	Regions/Affixes/Categories/Level.prototype
5	6336726455196980582	Regions/Affixes/Categories/AdditionalLevels.prototype
6	7144072668294353509	Regions/Affixes/Categories/Challenge.prototype
7	9028802272883774013	Regions/Affixes/RegionAffixCategory.defaults
8	11287905008613989231	Regions/Affixes/Categories/UniqueScenarios/LevelCableFight.prototype
9	11416183611203588096	Regions/Affixes/Categories/Mob.prototype
