Index	PrototypeId	Name
0	0	
1	60697726330152255	Regions/StoryRevamp/CH01HellsKitchen/Transitions/ConnectionNodes/WarehouseBossNode.prototype
2	106857825781294887	Regions/StoryRevamp/CH06FortStryker/TreasureRooms/TRBombShelter/SCBombShelterNodeEnter.prototype
3	158314332767527825	Regions/HUBS/zzzFullHubTest/NYCMidtownPortalHub/Connectors/MidtownToXmansion.prototype
4	172335453895009602	Regions/HUBS/zzzFullHubTest/HelicarrierPortalHub/Connectors/HelicarrierToLatveria.prototype
5	199908747082407110	Regions/ZZZDemoBranch/PAX2013Demo/Connections/PAX2013InstanceNode.prototype
6	257032881967345191	Regions/ZZZUNUSED/DangerRoomDailies/Tier4Level60/Green/HoodsShip/Targets/DailyT4GHoodsShipUpperToLowerNod.prototype
7	284624048268779818	Regions/EndGame/Terminals/Red/AIMFacility/Targets/DailyRAIMFacToModokNode.prototype
8	296339654900787028	Regions/StoryRevamp/CH02JerseyDocks/Targets/Nodes/CH02n07ConstructionToTaskmasterBaseNode.prototype
9	296375823517100679	Regions/StoryRevamp/CH06FortStryker/Transitions/ConnectionNodes/AIMWeapLabCacheENDAIMWeapLabEXT.prototype
10	353578595265030138	Regions/StoryRevamp/CH04EastSide/TreasureRooms/Targets/Nodes/CH04TR02LowerEastToHauntedNode.prototype
11	440413656077182560	Regions/StoryRevamp/CH03Madripoor/Transitions/ConnectionNodes/LowTownToReconPostNode.prototype
12	465332757590123648	Regions/EndGame/Terminals/Red/HYDRAIsland/Targets/DailyRHYDRAIslandLvl2ToBossNode.prototype
13	527755831949204700	Regions/ZZZDemoBranch/DemoAugust/DemoConnectionNodes/DemoNode.prototype
14	530876990637026958	Regions/Story/CH10SecretInvasion/LowerMadripoor/ConnectionTargets/ConnectionNodes/PagodaDENDToToolshedHUB.prototype
15	575615201505782414	Regions/EndGame/OneShotMissions/NonChapterBound/WakandaPart1/ConnectionTargets/WakandaP1BossNode.prototype
16	575992561984021294	Regions/EndGame/Terminals/Cosmic/FiskTower/Targets/DailyCFiskTowerDToBossNode.prototype
17	595707346306801507	Regions/EndGame/TierX/Redacted/DinosInvadeManhattan/XMansionToEGPVE01.prototype
18	632641745017972740	Regions/HUBS/zzzFullHubTest/MasterHub/Connectors/ToHelicarrierRegions/MasterHubToWakanda.prototype
19	634080280200553881	Regions/StoryRevamp/CH06FortStryker/TreasureRooms/TRKillHouse/SCKillHouseNodeEnter.prototype
20	639136942123070860	Regions/Story/CH10SecretInvasion/UpperMadripoor/TreasureRooms/ConnectionTargets/ConnectionNodes/TRShantyRooftopsNodeEnter.prototype
21	670464745443961221	Regions/StoryRevamp/CH07SavageLand/Transitions/ConnectionNodes/MarshToSabretoothShowdownNode.prototype
22	713840849891304560	Regions/StoryRevamp/CH02JerseyDocks/Targets/Nodes/CH02n11HoodsShipUpperToLowerNode.prototype
23	729848070164719088	Regions/Story/CH00QueensAndTheRaft/ConnectionTargets/ConnectionNodes/FunicBypassNode.prototype
24	732371108640076678	Regions/Story/CH10SecretInvasion/NYCRooftopInvasion/ConnectionTargets/ConnectionNodes/NYCRooftopInvDENDToToolshedHUB.prototype
25	736020511714584482	Regions/StoryRevamp/CH08Latveria/TreasureRooms/TRLaveriaCrypt/TRLatverianCryptNodeEnter.prototype
26	775438637139636102	Regions/EndGame/TierX/UltronGameMode/ConnectionNodes/RandomStartLocations/Green/UltronRaidRandomStartNode03G.prototype
27	775448062716880757	Regions/StoryRevamp/CH01HellsKitchen/TreasureRooms/TRStation/CH01TRStationConnectionNode.prototype
28	830181535519024910	Regions/Story/CH02JerseyDocks/HoodsHideout/ConnectionTargets/HoodsShipUpperToLowerNode.prototype
29	836600630907315318	Regions/EndGame/Terminals/Red/HighTownInvasion/Targets/DailyRHighTownToHotelNode.prototype
30	858593573831124806	Regions/ZZZDevelopment/DevRooms/MissionDevelopment/Targets/MissionDevCH01ZooToXmansion.prototype
31	938386759645406894	Regions/StoryRevamp/CH05MutantTown/Targets/Nodes/CH05MutantWarehouseBossToEntranceNode.prototype
32	986417259211924609	Regions/Story/CH03Madripoor/ConnectionTargets/ConnectionNodes/LowTownToSafehouse.prototype
33	996402293737466313	Regions/EndGame/StaticScenarios/CivilWar/ConnectionTargets/Nodes/AvengersTowerHUBtoBazaarNode.prototype
