Index	PrototypeId	Name
0	0	
1	14875012495577828	SpawnMarkers/Types/EncounterMediumV6.prototype
2	17523579328073756	SpawnMarkers/Types/BossMedium.prototype
3	40241609379092533	SpawnMarkers/Types/Generic/EncounterGenAIMEventSm.prototype
4	112903113459504941	SpawnMarkers/Types/EncounterOpenMissionSmallV3.prototype
5	125447989518144827	SpawnMarkers/Types/EncounterTinyAlternate.prototype
6	130154537496615928	SpawnMarkers/Types/Generic/EncounterGenStreetCarParkMedium.prototype
7	173225688600876833	SpawnMarkers/Types/EncounterOpenMissionLargeV5.prototype
8	201766414736628149	SpawnMarkers/Types/EndlessDungeon/EDEncounterMediumV2.prototype
9	280659146602388518	SpawnMarkers/Types/Generic/EncounterAxisSHIELDExteriorTiny.prototype
10	288140455255873376	SpawnMarkers/Types/EncounterOpenMissionSmallV15.prototype
11	301166037912916307	SpawnMarkers/Types/MissionTinyV3.prototype
12	313270356499700719	SpawnMarkers/Types/Generic/EncounterGenHostileExteriorSmV3.prototype
13	331163543566948581	SpawnMarkers/Types/Generic/EncounterGenEventSmallV8.prototype
14	343001610129838717	SpawnMarkers/Types/EncounterSmallV7.prototype
15	349254629233331994	SpawnMarkers/Types/VendorR6.prototype
16	356933341440121722	SpawnMarkers/Types/Generic/EncounterGenWarehouseEventSmv3.prototype
17	392708073803551267	SpawnMarkers/Types/EncounterTinyV2.prototype
18	403532009536688536	SpawnMarkers/Types/MissionLargeV1.prototype
19	414956153103130061	SpawnMarkers/Types/Raids/Surtur/SurturRaidGateToMonolithMarker.prototype
20	429265246841803419	SpawnMarkers/Types/EncounterLargeV12.prototype
21	473239621684631491	SpawnMarkers/Types/Generic/EncounterGenParkSmall.prototype
22	494884451962394299	SpawnMarkers/Types/EncounterOpenMissionHugeV1.prototype
23	502624182751861975	SpawnMarkers/Types/Raids/Surtur/SurturMonolithEncounterMedV1.prototype
24	520299229334737262	SpawnMarkers/Types/PropWallSmall.prototype
25	611919038401156901	SpawnMarkers/Types/EncounterOpenMissionLargeV9.prototype
26	760044743948049486	SpawnMarkers/Types/ReusableInstances/MilBaseHydra/CellDoorV4.prototype
27	792841796516188945	SpawnMarkers/Types/EncounterMediumV12.prototype
28	827613720315763143	SpawnMarkers/Types/Raids/Ultron/CentralParkGrassSmall.prototype
29	859236619726624144	SpawnMarkers/Types/EncounterSmallAlternate.prototype
30	874040330905392005	SpawnMarkers/Types/PropUrbanThrowable.prototype
31	885680182732331261	SpawnMarkers/Types/EndlessDungeon/EDEncounterTinyV7.prototype
32	969508306365454545	SpawnMarkers/Types/Generic/EncounterGenEventLargeV2.prototype
33	970713419017360716	SpawnMarkers/Types/UltronEMPSpawnerMarker.prototype
34	995609571277215200	SpawnMarkers/Types/EncounterPVPWhiteLargeV1.prototype
35	1016518212975335465	SpawnMarkers/Types/Generic/EncounterGenEventLarge.prototype
36	1027275345302985849	SpawnMarkers/Types/Generic/EncounterGenHostileInteriorSmall.prototype
37	1035424524027105522	SpawnMarkers/Types/DRBossMedium.prototype
38	1045421952123148513	SpawnMarkers/Types/Generic/EncounterGenEventSmallV4.prototype
39	1218862629581821702	SpawnMarkers/Types/EncounterOpenMissionTinyV10.prototype
40	1247027060755077596	SpawnMarkers/Types/Generic/EncounterAxisHYDRAAmbientM.prototype
41	1261354414871614934	SpawnMarkers/Types/LoreGiver/LoreGiverTinyB.prototype
42	1355885652049795330	SpawnMarkers/Types/Generic/EncounterGenEventLargeV12.prototype
43	1400814396833731156	SpawnMarkers/Types/EncounterTinyV21.prototype
44	1519725477635428191	SpawnMarkers/Types/BossTiny.prototype
45	1527179359387260292	SpawnMarkers/Types/CivilWarEncounterTinyV2.prototype
46	1565511008063853142	SpawnMarkers/Types/EncounterTinyV14.prototype
47	1572623787740238511	SpawnMarkers/Types/EncounterSmallV18.prototype
48	1579756560327187507	SpawnMarkers/Types/Generic/EncounterAxisSkirmishExteriorSm.prototype
49	1662043870292154699	SpawnMarkers/Types/Generic/EncounterGenEventMediumV6.prototype
50	1694225287537957247	SpawnMarkers/Types/Generic/EncounterGenEventMediumV19.prototype
51	1741020000021517680	SpawnMarkers/Types/EncounterPVPRedMediumV1.prototype
52	1801714134964048553	SpawnMarkers/Types/EncounterSmallV21.prototype
53	1850706977328666620	SpawnMarkers/Types/DrDoomPhase1TurretSpawnMarker.prototype
54	1909612058596086487	SpawnMarkers/Types/StarktechMarkerV2.prototype
55	1953021233607807934	SpawnMarkers/Types/EncounterTinyRaidP3.prototype
56	1968341975947549047	SpawnMarkers/Types/Generic/EncounterGenEventMediumV20.prototype
57	1989367134501410324	SpawnMarkers/Types/UltronChestSpawnerPhase04.prototype
58	2004927715002947111	SpawnMarkers/Types/Factions/FactionPropSmall.prototype
59	2018440903200085913	SpawnMarkers/Types/EncounterOpenMissionMediumV7.prototype
60	2028857779406378917	SpawnMarkers/Types/MoleManGigantoRightPopMarker.prototype
61	2038483443414734153	SpawnMarkers/Types/EncounterVehicleLargeV1.prototype
62	2078871514308615191	SpawnMarkers/Types/Generic/EncounterGenDoorwayOutsideSmall.prototype
63	2124356411917734657	SpawnMarkers/Types/MajorEnemyMarkerD.prototype
64	2132887816647154043	SpawnMarkers/Types/Generic/EncounterGenEventMediumV15.prototype
65	2211370663369316494	SpawnMarkers/Types/Generic/EncounterGenEventTinyV6.prototype
66	2216287650186533270	SpawnMarkers/Types/Generic/EncounterGenShipEventTiny.prototype
67	2245627515942410445	SpawnMarkers/Types/DREncounterBroodBeetlePlacement.prototype
68	2279768299934323290	SpawnMarkers/Types/EncounterTinyV18.prototype
69	2282273126353279231	SpawnMarkers/Types/Generic/EncounterGenFaceWallTiny.prototype
70	2290511177373586091	SpawnMarkers/Types/EncounterSmallV14.prototype
71	2326908301125883585	SpawnMarkers/Types/MoleManGigantoMidPopMarker.prototype
72	2328513858459998929	SpawnMarkers/Types/Generic/EncounterGenWarehouseEventSm.prototype
73	2358527575970091534	SpawnMarkers/Types/MissionMediumV1.prototype
74	2466750947323220756	SpawnMarkers/Types/EncounterMediumV15.prototype
75	2499668821271451442	SpawnMarkers/Types/EncounterOpenMissionSmallV8.prototype
76	2512852746438776345	SpawnMarkers/Types/Factions/FactionPropLarge.prototype
77	2564197044871435829	SpawnMarkers/Types/CH05MutantTown/BrokenWallA.prototype
78	2573575370215398477	SpawnMarkers/Types/ReusableInstances/MilBaseHydra/CellDoorV3.prototype
79	2605044205947655527	SpawnMarkers/Types/EncounterPVPBlueLargeV1.prototype
80	2616440930795067604	SpawnMarkers/Types/Generic/EncounterGenEventLargeV5.prototype
81	2632820505522478193	SpawnMarkers/Types/Raids/Ultron/CentralParkBaseballFieldHuge.prototype
82	2683591410734407364	SpawnMarkers/Types/Raids/Surtur/SurturMonolithEnticerEncounterSm.prototype
83	2761457184084202026	SpawnMarkers/Types/EncounterTinyV9.prototype
84	2813751060314526040	SpawnMarkers/Types/MissionTinyV8.prototype
85	2855474466872891699	SpawnMarkers/Types/SurturRaidLootContainerEnc3Marke.prototype
86	2862319282994747616	SpawnMarkers/Types/Generic/EncounterGenEventSmallV3.prototype
87	2899162958750028560	SpawnMarkers/Types/PropCloneCylinder.prototype
88	2912295269515073870	SpawnMarkers/Types/EndlessDungeon/EDEncounterSmallV3.prototype
89	2923957177900733200	SpawnMarkers/Types/MissionTinyLootV2.prototype
90	2930164727765341998	SpawnMarkers/Types/EncounterOpenMissionSmallV4.prototype
91	2944963086434243560	SpawnMarkers/Types/DarkDimensionTinyv11.prototype
92	3037731360491051167	SpawnMarkers/Types/Generic/EncounterGenEventMedium.prototype
93	3038146910413264755	SpawnMarkers/Types/CH04EastSide/BullseyeBossTiny.prototype
94	3081794429629044573	SpawnMarkers/Types/EncounterOpenMissionSmallV12.prototype
95	3124511173259958046	SpawnMarkers/Types/EncounterOpenMissionLargeV2.prototype
96	3132936276614910801	SpawnMarkers/Types/EncounterHugePOIV3.prototype
97	3134805015508162272	SpawnMarkers/Types/VerySpecialEncounterMarker.prototype
98	3171890774899496901	SpawnMarkers/Types/Generic/EncounterGenPOIMedium.prototype
99	3190862366453404198	SpawnMarkers/Types/EncounterTinyV5.prototype
100	3228548720753513118	SpawnMarkers/Types/EncounterLargeV15.prototype
101	3249032024232628564	SpawnMarkers/Types/MissionTinyV4.prototype
102	3249937289515112671	SpawnMarkers/Types/SurturRaidEnc5BossTrashSpawnerB.prototype
103	3259178227355029868	SpawnMarkers/Types/PropVanMarker.prototype
104	3299793321130529725	SpawnMarkers/Types/DarkDimensionTinyv7.prototype
