Index	PrototypeId	Name
0	0	
1	459663651329612800	Entity/Items/TooltipTemplates/Gamepad/GamepadIconDropAction.prototype
2	2849007938184486086	Entity/Items/TooltipTemplates/Gamepad/GamepadIconDonateAction.prototype
3	3913799732293803003	Entity/Items/TooltipTemplates/Gamepad/GamepadIconSellAction.prototype
4	6218827347213819083	Entity/Items/TooltipTemplates/Gamepad/GamepadIconSelectAction.prototype
5	6843344656115834076	Entity/Items/TooltipTemplates/Gamepad/GamepadIconRankUpAction.prototype
6	9283804983215657796	UI/Tooltips/TooltipSectionGamepadIcon.defaults
7	14116942337718099055	Entity/Items/TooltipTemplates/Gamepad/GamepadIconEquipAction.prototype
8	14865336224397335983	Entity/Items/TooltipTemplates/Gamepad/GamepadIconRankDownAction.prototype
9	17288046159371639810	Entity/Items/TooltipTemplates/Gamepad/GamepadIconMoveAction.prototype
