Index	PrototypeId	Name
0	0	
1	378143452281639196	UI/SystemLock/SynergySystemLock.prototype
2	809347018162704299	UI/SystemLock/ChatSystemLock.prototype
3	2712072293491217170	UI/SystemLock/NotificationSystemLock.prototype
4	4531640765505081364	UI/SystemLock/OmegaSystemLock.prototype
5	6510883495709314760	UI/SystemLock/UISystemLock.defaults
6	7899333514379072075	UI/SystemLock/PartyPanelSystemLock.prototype
7	10043655378329997558	UI/SystemLock/MinimapSystemLock.prototype
8	14445401683189502754	UI/SystemLock/TeamUpSplashSystemLock.prototype
9	14701856341734724680	UI/SystemLock/GamepadSplashSystemUnlock.prototype
10	14725812640954061281	UI/SystemLock/MultiSpecSystemLock.prototype
11	14811622924352623794	UI/SystemLock/ObjectiveTrackerSystemLock.prototype
12	15142146449978363950	UI/SystemLock/StashSystemLock.prototype
13	16696826549533872574	UI/SystemLock/BuffPanelSystemLock.prototype
14	17184158273408668021	UI/SystemLock/InfinitySystemLock.prototype
