Index	PrototypeId	Name
0	0	
1	478583290767352422	UI/MetaGame/SurturRaid/FinalEncounter/SurturRaidFinalEncounterEnrageWidget.prototype
2	797701726104132135	UI/MetaGame/SurturRaid/Encounter4/SurturRaidEncounter4C.prototype
3	1133155547537679647	UI/MetaGame/SurturRaid/FinalEncounter/SurturRaidFinalEncounterSurturHealthWidget.prototype
4	1188107356135233147	UI/MetaGame/DangerRoom/DRMarshSHIELDAgentsT1UI.prototype
5	2194863560622283564	UI/MetaGame/SurturRaid/FiveMan/MistressOfMagmaEnrageTimer.prototype
6	2228725650214361924	UI/MetaGame/GenoshaRaid/P1Sentinels/CosmicGateP1MadameHydra.prototype
7	2366323943412930605	UI/MetaGame/ThanosRaidPart1EscapePodHealthUIGroup3.prototype
8	2443778155287222340	UI/MetaGame/SurturRaid/FiveMan/MonolithEnrageTimer.prototype
9	2802677749327206943	UI/MetaGame/SurturRaid/Encounter1/SurturRaidEncounter1A.prototype
10	3569695964371294498	UI/MetaGame/SurturRaid/Encounter1/SlagPrisonerStatus.prototype
11	3579355965704116788	UI/MetaGame/GenoshaRaid/P1Sentinels/P1StarkTechSentinelA.prototype
12	4174428293069609470	UI/MetaGame/GenoshaRaid/P2HighwayNullifiers/P2Nullifier1.prototype
13	4216868907636627580	UI/MetaGame/GenoshaRaid/P2HighwayNullifiers/P2Shield.prototype
14	4528868501945784868	UI/MetaGame/SurturRaid/Encounter3/SurturRaidEncounter3B.prototype
15	4811765539140343523	UI/MetaGame/GenoshaRaid/P3Onslaught/P3OnslaughtB.prototype
16	5395255176691193473	UI/MetaGame/SurturRaid/FiveMan/SlagEnrageTimer.prototype
17	5477395723176977876	UI/MetaGame/SurturRaid/FinalEncounter/SurturRaidFinalEncounterMonolithHealthWidget.prototype
18	6016449284119009829	UI/MetaGame/SurturRaid/Encounter4/SurturRaidEncounter4A.prototype
19	6268728366893831918	UI/MetaGame/DangerRoom/DRMilitarySHIELDAgentsT2.prototype
20	6362335889811253087	UI/MetaGame/SurturRaid/FinalEncounter/SurturRaidFinalEncounterBrimHellfireHealthWidget.prototype
21	7026237378764675584	UI/MetaGame/GenoshaRaid/P2HighwayNullifiers/P2Nullifier3.prototype
22	7172983832999761898	UI/MetaGame/UltronRaid/AgeOfUltronEMPChargeHealth.prototype
23	7479073952661838376	UI/MetaGame/SurturRaid/Encounter5/SurturRaidEncounter5B.prototype
24	7620324251644336694	UI/MetaGame/GenoshaRaid/P1Sentinels/P1StarkTechSentinelC.prototype
25	8543557208879012111	UI/MetaGame/SurturRaid/FiveMan/MistressOfMagmaHealth.prototype
26	8699378707422976043	UI/MetaGame/ThanosRaidPart1EscapePodHealthUIGroup1.prototype
27	9118000689318992417	UI/MetaGame/SurturRaid/Encounter1/SurturRaidEncounter1C.prototype
28	9542074337368677368	UI/MetaGame/SurturRaid/FiveMan/BrimstoneHellfireEnrageTimer.prototype
29	10366192320689478197	UI/MetaGame/SurturRaid/FiveMan/SurturFightSurturEnrage.prototype
30	10807304020033738016	UI/MetaGame/Blueprints/UIWidgetEntityIcons.defaults
31	10939943995638944868	UI/MetaGame/SurturRaid/FiveMan/SlagHealth.prototype
32	11532850492628277759	UI/MetaGame/GenoshaRaid/P2HighwayNullifiers/P2Nullifier2.prototype
33	11981226347852995113	UI/MetaGame/SurturRaid/Encounter5/SurturRaidEncounter5C.prototype
34	12050405450506836515	UI/MetaGame/SurturRaid/Encounter3/SurturRaidEncounter3A.prototype
35	12127643251972971061	UI/MetaGame/GenoshaRaid/P1Sentinels/P1StarkTechSentinelB.prototype
36	12753532454256776484	UI/MetaGame/CosmicGate/CosmicGateP2RedSkull.prototype
37	12877928436419995108	UI/MetaGame/SurturRaid/FinalEncounter/SurturRaidFinalEncounterMistressHealthWidget.prototype
