Index	PrototypeId	Name
0	0	
1	1778574122302116562	Waypoints/Graphs/StoryWaypointGraph.prototype
2	2064414557903263134	Waypoints/ZZZDeprecated/Graphs/GraphDailies.prototype
3	2243443894508983294	Waypoints/ZZZDeprecated/Graphs/GraphRed.prototype
4	2898813757176286653	Waypoints/WaypointGraph.defaults
5	3952679615508980568	Waypoints/ZZZDeprecated/Graphs/T3Helicarrier/EndGameWPGraphHelicarrierRandoms.prototype
6	4809798402916226091	Waypoints/Graphs/EndGame/GraphChallenges.prototype
7	7025530367576514975	Waypoints/ZZZDeprecated/Graphs/T3Helicarrier/EndGameWPGraphHelicarrierRed.prototype
8	7550649893747495664	Waypoints/Graphs/EndGame/GraphDailies.prototype
9	8482784902932535464	Waypoints/ZZZDeprecated/Graphs/EndGameWPGraphGroup.prototype
10	8799999605347721501	Waypoints/ZZZDeprecated/Graphs/T2Xmansion/EndGameWPGraphXmansionRandoms.prototype
11	9062914382287740986	Waypoints/ZZZDeprecated/Graphs/T2Xmansion/EndGameWPGraphXmansionGreen.prototype
12	10181954546688336501	Waypoints/ZZZDeprecated/Graphs/T3Helicarrier/EndGameWPGraphHelicarrierGreen.prototype
13	10343453601302123075	Waypoints/Graphs/HubsWaypointGraph.prototype
14	11174678048975690751	Waypoints/ZZZDeprecated/Graphs/zzzEndGameWPGraphChallenges.prototype
15	11219575206094249828	Waypoints/ZZZDeprecated/Graphs/T2Xmansion/EndGameWPGraphXmansionRed.prototype
16	11315465938415851392	Waypoints/Graphs/EndGame/GraphChallengesAxisRaid.prototype
17	11566431131493603709	Waypoints/ZZZDeprecated/Graphs/EndGameWPGraphMidtown.prototype
18	14496770731512307202	Waypoints/ZZZDeprecated/Graphs/EndGameWPGraphMidtownAndXdefense.prototype
19	14807738829201809990	Waypoints/ZZZDeprecated/Graphs/T1AvengersTower/EndGameWPGraphAvengersGreen.prototype
20	14943957518363989969	Waypoints/ZZZDeprecated/Graphs/EndGameWPGraphPvP.prototype
21	16225635828302485293	Waypoints/Graphs/EndGame/GraphChallengesMidtown.prototype
22	16658111919122812843	Waypoints/Graphs/EventsGraph.prototype
23	16822667190488998697	Waypoints/ZZZDeprecated/Graphs/T1AvengersTower/EndGameWPGraphAvengersRandoms.prototype
24	16946614549850169712	Waypoints/ZZZDeprecated/Graphs/T1AvengersTower/EndGameWPGraphAvengersRed.prototype
25	17966989390862161496	Waypoints/ZZZDeprecated/Graphs/zzzWPXDefense.prototype
