Index	PrototypeId	Name
0	0	
1	21769861600975956	Waypoints/Endgame/Terminals/DailiesGreen/DailyGAIMFacilityWP.prototype
2	41909788466486525	Waypoints/Endgame/Terminals/DailiesRed/DailyRUltronTerminalWP.prototype
3	56472915074098861	Waypoints/Endgame/Terminals/HubTerminals/Tier2Xmansion/EndGameTerminalXmansionSpokeWP.prototype
4	74888034099466142	Waypoints/HUBS/DangerRoomHub.prototype
5	117413104140489262	Waypoints/CH02Brooklyn/ShippingYard.prototype
6	276728434400631381	Waypoints/Endgame/Challenges/PvP/Deprecated/Defender1v3WP.prototype
7	290749800241830165	Waypoints/Endgame/Challenges/SpokeBattles/LimboT2L6WP.prototype
8	303030993580663026	Waypoints/Endgame/Terminals/Tier3Helicarrier/Red/DailyT3RShockerSubwayWP.prototype
9	322850773930217884	Waypoints/Endgame/EndgameWaypoint.prototype
10	336056927888874553	Waypoints/Endgame/Terminals/OneShotTerminals/OneShotBlankWP.prototype
11	351844964649606740	Waypoints/Endgame/Terminals/Tier4Level60/Green/DailyT4GDoomCastleWP.prototype
12	450281169331756695	Waypoints/Endgame/Terminals/DailiesGreen/DailyGHighTownInvasionWP.prototype
13	523220902205726247	Waypoints/Endgame/Terminals/Tier2Xmansion/Red/DailyT2RFiskTowerWP.prototype
14	676576999961665103	Waypoints/Endgame/Challenges/PatrolMidtown/MidtownPatrolWPCosmic.prototype
15	787906011966875779	Waypoints/Endgame/Terminals/HubTerminals/Tier3Helicarrier/EndGameTerminalHelicarrierSpokWP.prototype
16	810113748814862027	Waypoints/Endgame/Challenges/PvP/FactionWPTier4.prototype
17	912115415621375442	Waypoints/CH01HellsKitchen/HellsKitchenNorth.prototype
18	948269750906851645	Waypoints/CH03Madripoor/Safehouse.prototype
19	1072346053666544732	Waypoints/Endgame/Terminals/DailiesCosmic/DailyCDoomCastleWP.prototype
20	1117771385180524263	Waypoints/HUBS/MidtownDoor.prototype
21	1202218253521002310	Waypoints/Endgame/Terminals/Tier3Helicarrier/Red/DailyT3RFiskTowerWP.prototype
22	1255222773564577238	Waypoints/CH08Finale/LatveriaCastleDoomEntry.prototype
23	1334381924041629145	Waypoints/Endgame/Terminals/DailiesGreen/OpsDailyBugleVultureWP.prototype
24	1344968194842040918	Waypoints/Endgame/Challenges/PvP/Deprecated/Defender2v3WP.prototype
