Index	PrototypeId	Name
0	0	
1	1409115386291094	Metagame/Story/CH04EastSide/Populations/Clusters/UpperEast/CH04MaggiaHHTalkGroup.prototype
2	18226974773747094	Metagame/PatrolBrooklyn/Objects/BrooklynVenomificationPopObjP05.prototype
3	20020374804832938	Metagame/AgeOfUltron/Populations/Clusters/Civilian/AgeOfUltronCivBusTalkDuo.prototype
4	25937307170840568	Populations/Missions/DangerRoom/Subway/DRSubwayWeaponsDealClusterT2C.prototype
5	26648748828076467	Metagame/Story/CH10SecretInvasion/TreasureRooms/Populations/Clusters/GameCenterStagePerformer.prototype
6	36437772352236319	Metagame/Story/CH05MutantTown/Populations/Clusters/MorlockUnderground/CH05PopMorlockCivSeatedTrio.prototype
7	54383902821456188	Populations/Clusters/Generic/Clusters/CivParkReading.prototype
8	60808182073073012	Metagame/PatrolBrooklyn/Populations/Clusters/WarGamesHostageMB.prototype
9	64463072310140647	Metagame/Story/CH10SecretInvasion/Hightown/Objects/SkrullXmenPopObj.prototype
10	66604737579195533	Populations/Missions/CH10HelicarrierSkrullSHIELDAgentMalePop.prototype
11	80199601786136073	Metagame/PatrolSavage/Populations/Clusters/Event/PatrolSavageEventMutatesLaneCenter.prototype
12	81869253596093715	Populations/Missions/OneShots/OneShotPopJabariSquadDropYASim.prototype
13	87991493413443849	Metagame/DevMobFamilies/Clusters/BroodFamilyCluster3.prototype
14	89465023107378607	Metagame/Story/CH10SecretInvasion/XMansionInvasion/Populations/Clusters/XMansionSkrullPatrolInsideFore.prototype
15	146344139817950616	Metagame/PatrolBrooklyn/Objects/BrooklynVenomificationPopObjP16.prototype
16	147561231121521354	Populations/Missions/CH10NYCRooftopInvSkrullPunkFadePop.prototype
17	169889399042416826	Metagame/PatrolMidtown/Populations/Clusters/Combat/MidtownThugsTalkDuo.prototype
18	173657525754861267	Populations/Blueprints/PopulationClusterFixed.defaults
19	178025811781494543	Metagame/AgeOfUltron/Populations/Clusters/Civilian/AgeOfUltronSoloVulnerableCivilianV3.prototype
20	179088229252342987	Metagame/Story/CH02BrooklynDocks/Populations/Clusters/Maggia/CH02FoodCartVendorDuoA.prototype
21	199523456869344014	Metagame/AgeOfUltron/Populations/Clusters/Civilian/AgeOfUltronCivParkTalkDuo.prototype
