Index	PrototypeId	Name
0	0	
1	520299229334737262	SpawnMarkers/Types/PropWallSmall.prototype
2	874040330905392005	SpawnMarkers/Types/PropUrbanThrowable.prototype
3	2004927715002947111	SpawnMarkers/Types/Factions/FactionPropSmall.prototype
4	2512852746438776345	SpawnMarkers/Types/Factions/FactionPropLarge.prototype
5	2564197044871435829	SpawnMarkers/Types/CH05MutantTown/BrokenWallA.prototype
6	3259178227355029868	SpawnMarkers/Types/PropVanMarker.prototype
7	3630738472632586689	SpawnMarkers/Types/PropBarrelTech.prototype
8	7126286315209561957	SpawnMarkers/Types/Factions/FactionPropWallFlat.prototype
9	8211995007969333495	SpawnMarkers/Types/PropArtLarge.prototype
10	9420310823492522333	SpawnMarkers/Types/PropCarMarker.prototype
11	10283886232075178697	SpawnMarkers/Types/PropFloorCluster.prototype
12	11187888507279054270	SpawnMarkers/Types/Factions/FactionPropWall.prototype
13	11252956545336676727	SpawnMarkers/Types/PropWallFloor.prototype
14	11870099765890652128	SpawnMarkers/Types/Factions/FactionPropWallFloor.prototype
15	12663375221913096992	SpawnMarkers/Types/PropWallFloorWide.prototype
16	16359796182068304265	SpawnMarkers/Types/Factions/FactionPropWallFloorWide.prototype
17	16363573178877024123	SpawnMarkers/Types/ReusableInstances/Office/Door.prototype
18	17044916603877264803	SpawnMarkers/PropMarker.defaults
