Index	PrototypeId	Name
0	0	
1	270125643650832033	Property/ArmorRangePresets/ArmorSlot3to5Lower.prototype
2	2139031059190258152	Property/ArmorRangePresets/Deprecated/ArmorSlot04Light.prototype
3	2165061668761834383	Property/ArmorRangePresets/ArmorSlot02.prototype
4	3710408762137057773	Property/ArmorRangePresets/Deprecated/ArmorSlot04Heavy.prototype
5	3976904553273365394	Property/ArmorRangePresets/ArmorSlot05.prototype
6	4766167495889524730	Property/ArmorRangePresets/RangeArmorSlot01Damage.prototype
7	5638001569320409574	Property/ArmorRangePresets/Deprecated/ArmorSlot02Light.prototype
8	6931462946832651761	Property/ArmorRangePresets/ArmorSlot05Damage.prototype
9	6984921360800487915	Property/ArmorRangePresets/Deprecated/ArmorSlot02Heavy.prototype
10	7665916348226408969	Property/PropertyPickInRangeEntry.defaults
11	10422654588310918664	Property/ArmorRangePresets/ArmorSlot05Health.prototype
12	11319398048074635758	Property/ArmorRangePresets/Deprecated/ArmorSlot05Heavy.prototype
13	12954548232882493929	Property/ArmorRangePresets/Deprecated/ArmorSlot05Light.prototype
14	14882142122401405420	Property/ArmorRangePresets/Deprecated/ArmorSlot03Heavy.prototype
15	16106288291944862608	Property/ArmorRangePresets/ArmorSlot03.prototype
16	16165289466372561383	Property/ArmorRangePresets/Deprecated/ArmorSlot03Light.prototype
17	17779668577657492369	Property/ArmorRangePresets/ArmorSlot04.prototype
