Index	PrototypeId	Name
0	0	
1	58506290456700656	Regions/Story/CH04EastSide/UpperEastSide/UpperEastSuperCells/UpperEastHorizontalSuper1.prototype
2	257631092560373932	Regions/StoryRevamp/CH08Latveria/Areas/Latveria/Doomstadt/SuperCells/LatveriaPCZBridgeSuper1.prototype
3	319723969272553146	Regions/EndGame/CowLevels/AsgardCowLevel/AsgardCowLevelAreaBSuperA.prototype
4	330335047074522386	Regions/StoryRevamp/CH08Latveria/Areas/AIMWeaponFacility/AIMWeapFacSuperHorizontal.prototype
5	419585127953542300	Regions/EndGame/TierX/Seasonal/Christmas/IndustryCity/SuperCells/BrooklynPatrolSubmarineSuperWinter.prototype
6	555824863742729894	Regions/StoryRevamp/CH04EastSide/Supercells/CH0401Supercell3x1Factory.prototype
7	568352933580449442	Regions/StoryRevamp/CH07SavageLand/Areas/MutateMarsh/SuperCells/MutateMarshSuperCell1x2.prototype
8	667028441306898802	Regions/Story/CH02JerseyDocks/BrooklynSuperCells/ShippingCrateWorldSuper.prototype
9	754300391618060920	Regions/StoryRevamp/CH09Asgard/Areas/Norway/NorwayForgottenPyreSuperCellALT.prototype
10	1146178892648291581	Regions/StoryRevamp/CH04EastSide/Supercells/CH0402Supercell1x2Lot.prototype
11	1233307436226913265	Regions/ZZZUNUSED/SpokeRegions/Tier2/Subterranea/SubterraSupers/SubterraSuperS.prototype
12	1272168668151620347	Regions/Story/CH00QueensAndTheRaft/TutorialCity/Supercells/TutorialCitySuper.prototype
13	1304474378693518359	Regions/ZZZUNUSED/SpokeRegions/Tier3/StripMine/StripMineSupers/StripMineSuperS.prototype
14	1387337452975956917	Regions/StoryRevamp/CH06FortStryker/Areas/TransitionAreas/TrainingForestRavine.prototype
15	1433518958428627575	Regions/EndGame/DangerRoomMode/AIMFacility/Areas/POISupers/DRAIMFacPOISuperC.prototype
16	1480870418662433369	Regions/ZZZUNUSED/SpokeRegions/Tier1/BambooForest/BambooSupers/BambooSuperE.prototype
17	1482468391566384976	Regions/StoryRevamp/CH05MutantTown/Areas/Projects/ProjectsSuperCell2.prototype
18	1871527280445301077	Regions/EndGame/TierX/PatrolBrooklyn/Areas/DocksPatrolContainerSuperCell.prototype
19	2045201919537260162	Regions/StoryRevamp/CH07SavageLand/Areas/BroodJungle/SuperCells/BroodJungleSuperCell2x1.prototype
20	2526030181313947880	Regions/StoryRevamp/CH07SavageLand/Areas/MutateMarsh/SuperCells/MutateMarshCrossShantySuper.prototype
21	2549096071589338371	Regions/EndGame/CowLevels/CowFarm/ClassifiedBovineSectorSuper2.prototype
